interval_from,interval_to,co_B0_min,co_B0_max,co_B0_mean,co_B0_stDev,co_B0_sampleCount,co_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2018-04-01,2018-05-01,0.025162534788250923,0.0327426940202713,0.029700862452785425,0.0016068535552367519,65536,62613,NUTS_NL_01m_2024.shp,NL,2018,April,4
2018-05-01,2018-06-01,0.02878790907561779,0.03611636534333229,0.03209639016417512,0.00125140698292369,65536,55160,NUTS_NL_01m_2024.shp,NL,2018,May,5
2018-06-01,2018-07-01,0.023609552532434464,0.0365753248333931,0.028920395945043018,0.0016906857513408543,65536,36236,NUTS_NL_01m_2024.shp,NL,2018,June,6
2018-07-01,2018-08-01,0.023674961179494858,0.035516880452632904,0.02913792403677716,0.0012790913502916286,65536,39141,NUTS_NL_01m_2024.shp,NL,2018,July,7
2018-08-01,2018-09-01,0.02947462536394596,0.05132857337594032,0.04238120425480908,0.00280985611529545,65536,45937,NUTS_NL_01m_2024.shp,NL,2018,August,8
2018-09-01,2018-10-01,0.027760813012719154,0.033027131110429764,0.03049704825405749,0.0010159235174993747,65536,57442,NUTS_NL_01m_2024.shp,NL,2018,September,9
2018-10-01,2018-11-01,0.011739269830286503,0.036227576434612274,0.029540352009988287,0.0024707548735517213,65536,56316,NUTS_NL_01m_2024.shp,NL,2018,October,10
2018-11-01,2018-12-01,0.02489158697426319,0.03673790395259857,0.03198495353760127,0.0012538042812514573,65536,38367,NUTS_NL_01m_2024.shp,NL,2018,November,11
2018-12-01,2019-01-01,0.030772767961025238,0.033998940140008926,0.032626045747541875,0.000726612248890958,65536,62810,NUTS_NL_01m_2024.shp,NL,2018,December,12
2019-01-01,2019-02-01,0.030918285250663757,0.0350545197725296,0.03285097585526823,0.0008134570644076708,65536,39142,NUTS_NL_01m_2024.shp,NL,2019,January,1
2019-02-01,2019-03-01,0.03103158250451088,0.041023653000593185,0.03682923760827467,0.0017505214416292717,65536,57103,NUTS_NL_01m_2024.shp,NL,2019,February,2
2019-03-01,2019-04-01,0.03173166885972023,0.04108816012740135,0.038314510372333126,0.0013806294861028589,65536,48467,NUTS_NL_01m_2024.shp,NL,2019,March,3
2019-04-01,2019-05-01,0.03314189612865448,0.03968024626374245,0.03667829499860967,0.0013554138311874721,65536,59673,NUTS_NL_01m_2024.shp,NL,2019,April,4
2019-05-01,2019-06-01,0.023702796548604965,0.03453882038593292,0.031413142214339856,0.0013392817355023737,65536,55481,NUTS_NL_01m_2024.shp,NL,2019,May,5
2019-06-01,2019-07-01,0.02553134597837925,0.03200729191303253,0.0288115548459875,0.0019096601397693745,65536,63004,NUTS_NL_01m_2024.shp,NL,2019,June,6
2019-07-01,2019-08-01,0.025264158844947815,0.02960314229130745,0.0277639095028859,0.0010327114052727882,65536,62465,NUTS_NL_01m_2024.shp,NL,2019,July,7
2019-08-01,2019-09-01,0.01950276456773281,0.037581779062747955,0.030864264723699367,0.0022158877834152057,65536,38387,NUTS_NL_01m_2024.shp,NL,2019,August,8
2019-09-01,2019-10-01,0.024567048996686935,0.045111529529094696,0.030672424302822816,0.001872242126047591,65536,39099,NUTS_NL_01m_2024.shp,NL,2019,September,9
2019-10-01,2019-11-01,0.0265472624450922,0.03837461769580841,0.03146947106171863,0.0015123564220172621,65536,42613,NUTS_NL_01m_2024.shp,NL,2019,October,10
2019-11-01,2019-12-01,0.02412056177854538,0.04659676179289818,0.03160787175826067,0.0022690003761658348,65536,42768,NUTS_NL_01m_2024.shp,NL,2019,November,11
2019-12-01,2020-01-01,0.03129659220576286,0.044246919453144073,0.03527497968013964,0.0019966428679078115,65536,60904,NUTS_NL_01m_2024.shp,NL,2019,December,12
2020-01-01,2020-02-01,0.032074544578790665,0.03823818638920784,0.034984477347135355,0.0010624120029027395,65536,53661,NUTS_NL_01m_2024.shp,NL,2020,January,1
2020-02-01,2020-03-01,0.028188560158014297,0.03012899123132229,0.029148905005838194,0.0009233603988145515,65536,65494,NUTS_NL_01m_2024.shp,NL,2020,February,2
2020-03-01,2020-04-01,0.032831475138664246,0.046353530138731,0.03757869096925095,0.0016620826613239516,65536,37882,NUTS_NL_01m_2024.shp,NL,2020,March,3
2020-04-01,2020-05-01,0.026565106585621834,0.0382368378341198,0.03239379894038732,0.0017740158788618905,65536,42008,NUTS_NL_01m_2024.shp,NL,2020,April,4
2020-05-01,2020-06-01,0.03109828755259514,0.03641236200928688,0.03373286584743638,0.0011232812958219484,65536,59176,NUTS_NL_01m_2024.shp,NL,2020,May,5
2020-06-01,2020-07-01,0.02202145755290985,0.03346403315663338,0.02714405766768029,0.0021114004645980044,65536,55912,NUTS_NL_01m_2024.shp,NL,2020,June,6
2020-07-01,2020-08-01,0.019270814955234528,0.03731391951441765,0.02807122094754371,0.0022519995535992487,65536,37232,NUTS_NL_01m_2024.shp,NL,2020,July,7
2020-08-01,2020-09-01,0.025537215173244476,0.03531613573431969,0.030443344408590867,0.0019134247514078304,65536,55766,NUTS_NL_01m_2024.shp,NL,2020,August,8
2020-09-01,2020-10-01,0.03474414348602295,0.04288317263126373,0.03886396394985279,0.0012819759067088563,65536,48880,NUTS_NL_01m_2024.shp,NL,2020,September,9
2020-10-01,2020-11-01,0.024057846516370773,0.0352502167224884,0.029954324104326836,0.0014507572655052512,65536,41558,NUTS_NL_01m_2024.shp,NL,2020,October,10
2020-11-01,2020-12-01,0.029735494405031204,0.03683342784643173,0.03410609615489389,0.001373449475985353,65536,51819,NUTS_NL_01m_2024.shp,NL,2020,November,11
