NUTS3;Year;GDP;NUTS_ID;CNTR_CODE
Agglomeratie Haarlem;2020;7734.57;NL32A;NL
Groot-Amsterdam;2020;121104.07;NL32B;NL
Zeeuwsch-Vlaanderen;2020;4238.89;NL341;NL
Overig Zeeland;2020;10330.75;NL342;NL
Utrecht;2020;79026.62;NL350;NL
Utrecht;2020;79026.62;NL35;NL
Agglomeratie â€™s-Gravenhage;2020;41117.23;NL361;NL
Delft en Westland;2020;12679.56;NL362;NL
Agglomeratie Leiden en Bollenstreek;2020;16517.05;NL363;NL
Zuidoost-Zuid-Holland;2020;16286.56;NL364;NL
Oost-Zuid-Holland;2020;11820.54;NL365;NL
Groot-Rijnmond;2020;71492.19;NL366;NL
West-Noord-Brabant;2020;29611.51;NL411;NL
Zuidoost-Noord-Brabant;2020;43712.29;NL414;NL
Midden-Noord-Brabant;2020;19999.24;NL415;NL
Noordoost-Noord-Brabant;2020;31660.12;NL416;NL
Noord-Limburg;2020;12024.05;NL421;NL
Midden-Limburg;2020;9377.28;NL422;NL
Zuid-Limburg;2020;23889.57;NL423;NL
Delfzijl en omgeving;2021;1969.51;NL112;NL
Oost-Groningen;2021;4808.35;NL114;NL
Overig Groningen;2021;20606.11;NL115;NL
Zuidoost-Friesland;2021;7485.04;NL126;NL
Noord-Friesland;2021;12177.41;NL127;NL
Zuidwest-Friesland;2021;4656.33;NL128;NL
Noord-Drenthe;2021;6826.29;NL131;NL
Zuidoost-Drenthe;2021;5520.04;NL132;NL
Zuidwest-Drenthe;2021;5467.11;NL133;NL
Noord-Overijssel;2021;17865.23;NL211;NL
Zuidwest-Overijssel;2021;6301.53;NL212;NL
Twente;2021;26970.7;NL213;NL
Veluwe;2021;32252.01;NL221;NL
Zuidwest-Gelderland;2021;10978.14;NL224;NL
Achterhoek;2021;14673.93;NL225;NL
Arnhem/Nijmegen;2021;33116.84;NL226;NL
Flevoland;2021;16311.24;NL230;NL
Flevoland;2021;16311.24;NL23;NL
Kop van Noord-Holland;2021;13134.58;NL321;NL
IJmond;2021;7503.06;NL323;NL
Zaanstreek;2021;5913.04;NL325;NL
Het Gooi en Vechtstreek;2021;11882.38;NL327;NL
Alkmaar en omgeving;2021;9255.24;NL328;NL
Agglomeratie Haarlem;2021;8259.78;NL32A;NL
Groot-Amsterdam;2021;132824.32;NL32B;NL
Zeeuwsch-Vlaanderen;2021;4556.11;NL341;NL
Overig Zeeland;2021;10899.31;NL342;NL
