interval_from,interval_to,no2_B0_min,no2_B0_max,no2_B0_mean,no2_B0_stDev,no2_B0_sampleCount,no2_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2018-04-01,2018-05-01,5.5184511438710615e-05,5.5184511438710615e-05,5.5184511438710615e-05,0.0,65536,65495,NUTS_NL_01m_2024.shp,NL,2018,April,4
2018-05-01,2018-06-01,3.7874906411161646e-05,0.000313540076604113,9.587099399433143e-05,3.7344882090066964e-05,65536,52804,NUTS_NL_01m_2024.shp,NL,2018,May,5
2018-06-01,2018-07-01,2.080852709696046e-06,0.0002977867261506617,4.6765481958871125e-05,2.3427005022115642e-05,65536,34698,NUTS_NL_01m_2024.shp,NL,2018,June,6
2018-07-01,2018-08-01,1.2660451830015518e-05,0.0001294063840759918,5.9699267709161356e-05,2.1331718414576085e-05,65536,40685,NUTS_NL_01m_2024.shp,NL,2018,July,7
2018-08-01,2018-09-01,4.770206942339428e-06,0.00018038130656350404,5.1521262145900714e-05,3.6378380093342525e-05,65536,56103,NUTS_NL_01m_2024.shp,NL,2018,August,8
2018-09-01,2018-10-01,2.183023934776429e-05,0.00023611557844560593,9.631281101907032e-05,4.449576517374051e-05,65536,59264,NUTS_NL_01m_2024.shp,NL,2018,September,9
2018-10-01,2018-11-01,3.214682874386199e-05,0.00023671661620028317,9.866360472743093e-05,2.8135394291268015e-05,65536,40188,NUTS_NL_01m_2024.shp,NL,2018,October,10
2018-11-01,2018-12-01,3.124394061160274e-05,0.00014988071052357554,9.225565586849015e-05,2.192812959345955e-05,65536,50397,NUTS_NL_01m_2024.shp,NL,2018,November,11
2018-12-01,2019-01-01,8.321456334670074e-06,6.501398456748575e-05,3.6645777840040566e-05,1.2664191112849129e-05,65536,63228,NUTS_NL_01m_2024.shp,NL,2018,December,12
2019-01-01,2019-02-01,0.0001293491804972291,0.00027484886231832206,0.0001846421278354808,4.6088735840313354e-05,65536,64811,NUTS_NL_01m_2024.shp,NL,2019,January,1
2019-02-01,2019-03-01,2.589355608506594e-05,0.0007081704679876566,0.0003230889472306714,0.00019148739988360212,65536,60082,NUTS_NL_01m_2024.shp,NL,2019,February,2
2019-03-01,2019-04-01,4.972222541255178e-06,0.00014081869449000806,4.673674908994022e-05,2.0068829291153203e-05,65536,38371,NUTS_NL_01m_2024.shp,NL,2019,March,3
