interval_from,interval_to,so2_B0_min,so2_B0_max,so2_B0_mean,so2_B0_stDev,so2_B0_sampleCount,so2_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2018-04-01,2018-05-01,-0.0003790251794271171,0.0020887665450572968,0.00041218152361017585,0.00045485327734435,65536,63712,NUTS_NL_01m_2024.shp,NL,2018,April,4
2018-05-01,2018-06-01,-0.001490543014369905,0.0027379184029996395,6.606184272845808e-05,0.0005376109871544482,65536,50776,NUTS_NL_01m_2024.shp,NL,2018,May,5
2018-06-01,2018-07-01,-0.0014919108944013715,0.0016324936877936125,-7.318952406289436e-05,0.0005402730642684708,65536,34858,NUTS_NL_01m_2024.shp,NL,2018,June,6
2018-07-01,2018-08-01,-0.0014860121300444007,0.0018363650888204575,3.330433138816267e-05,0.0004786384833519345,65536,38827,NUTS_NL_01m_2024.shp,NL,2018,July,7
2018-08-01,2018-09-01,-0.0014979687985032797,0.00184983154758811,6.6499532423341e-05,0.0004489511532529734,65536,48166,NUTS_NL_01m_2024.shp,NL,2018,August,8
2018-09-01,2018-10-01,-0.0014770962297916412,0.008760974742472172,0.0007524943057279856,0.0017726063112007725,65536,58415,NUTS_NL_01m_2024.shp,NL,2018,September,9
2018-10-01,2018-11-01,-0.0014977207174524665,0.0063886335119605064,0.0004738442113333899,0.0013218048768886906,65536,42164,NUTS_NL_01m_2024.shp,NL,2018,October,10
2019-02-01,2019-03-01,-0.0014958855463191867,0.005409647710621357,0.0004086365282190902,0.0011453211296054433,65536,55787,NUTS_NL_01m_2024.shp,NL,2019,February,2
2019-03-01,2019-04-01,-0.001471369294449687,0.005305944010615349,2.765983183855811e-05,0.0006744032263474281,65536,37970,NUTS_NL_01m_2024.shp,NL,2019,March,3
2019-04-01,2019-05-01,-0.0013954852474853396,0.0013174160849303007,-7.927378967705818e-05,0.00044572249613671056,65536,60499,NUTS_NL_01m_2024.shp,NL,2019,April,4
2019-05-01,2019-06-01,-0.0014854223700240254,0.003070209873840213,0.0001708968025567176,0.0008037883165481912,65536,56596,NUTS_NL_01m_2024.shp,NL,2019,May,5
2019-06-01,2019-07-01,-0.0014716698788106441,0.0018945911433547735,2.9877532981719308e-05,0.0005586786895612158,65536,46742,NUTS_NL_01m_2024.shp,NL,2019,June,6
2019-07-01,2019-08-01,-0.0009622014476917684,0.001392684760503471,0.00031367644653800203,0.0005613721902401807,65536,64725,NUTS_NL_01m_2024.shp,NL,2019,July,7
2019-08-01,2019-09-01,-0.001495974138379097,0.0020122237037867308,-9.560731915052977e-05,0.0006496148173377396,65536,35353,NUTS_NL_01m_2024.shp,NL,2019,August,8
2019-09-01,2019-10-01,-0.0014777439646422863,0.00466589629650116,-3.0559452067790002e-06,0.000533489047836508,65536,43556,NUTS_NL_01m_2024.shp,NL,2019,September,9
2019-10-01,2019-11-01,-0.0014773200964555144,0.0180331002920866,0.0023454088099583233,0.0030698020465241235,65536,57430,NUTS_NL_01m_2024.shp,NL,2019,October,10
2019-11-01,2019-12-01,0.006607220508158207,0.006607220508158207,0.006607220508158207,0.0,65536,65534,NUTS_NL_01m_2024.shp,NL,2019,November,11
2020-01-01,2020-02-01,-0.0013998013455420732,0.007583333645015955,0.0007586547992662064,0.002115687328581183,65536,65425,NUTS_NL_01m_2024.shp,NL,2020,January,1
2020-02-01,2020-03-01,-0.0007199557148851454,0.018235396593809128,0.010010935464853668,0.00611099347627303,65536,65444,NUTS_NL_01m_2024.shp,NL,2020,February,2
2020-03-01,2020-04-01,-0.0014960000989958644,0.003319651586934924,0.0002911123847569081,0.0007750162912888187,65536,35166,NUTS_NL_01m_2024.shp,NL,2020,March,3
2020-04-01,2020-05-01,-0.0012632355792447925,0.0013922045473009348,6.629091067844164e-05,0.0003183126427690737,65536,48779,NUTS_NL_01m_2024.shp,NL,2020,April,4
2020-05-01,2020-06-01,-0.0014832927845418453,0.0034116385504603386,7.269049310100978e-05,0.0007416770123047534,65536,36365,NUTS_NL_01m_2024.shp,NL,2020,May,5
2020-06-01,2020-07-01,-0.0007890238193795085,0.0003397613763809204,-7.881035897234622e-05,0.0002861013692541019,65536,65309,NUTS_NL_01m_2024.shp,NL,2020,June,6
2020-07-01,2020-08-01,-0.0014873554464429617,0.0022082228679209948,-8.637754138446935e-05,0.0005550665194848256,65536,34890,NUTS_NL_01m_2024.shp,NL,2020,July,7
2020-08-01,2020-09-01,-0.0014673266559839249,0.0009136892040260136,2.5853908907691675e-05,0.0003376105080582352,65536,59537,NUTS_NL_01m_2024.shp,NL,2020,August,8
2020-09-01,2020-10-01,-0.001471838797442615,0.009799623861908913,0.001666387060461511,0.0025452476475187396,65536,62640,NUTS_NL_01m_2024.shp,NL,2020,September,9
2020-10-01,2020-11-01,-0.0014944459544494748,0.008632493205368519,0.0005330612001713098,0.0012793819079813611,65536,49514,NUTS_NL_01m_2024.shp,NL,2020,October,10
2021-02-01,2021-03-01,-0.001499824458733201,0.004181364085525274,0.0003414892149287645,0.0010297949955729586,65536,43886,NUTS_NL_01m_2024.shp,NL,2021,February,2
2021-03-01,2021-04-01,-0.001487140660174191,0.004031289368867874,0.00027955572397573626,0.0008698799429372969,65536,36040,NUTS_NL_01m_2024.shp,NL,2021,March,3
2021-04-01,2021-05-01,-0.0013408564263954759,0.0009883937891572714,-1.7044396615002266e-05,0.0003469982813798672,65536,62806,NUTS_NL_01m_2024.shp,NL,2021,April,4
2021-05-01,2021-06-01,-0.001489134505391121,0.0019899150356650352,-3.2329523717286296e-05,0.0005813081944011223,65536,34967,NUTS_NL_01m_2024.shp,NL,2021,May,5
2021-07-01,2021-08-01,-0.001455018762499094,0.0026764420326799154,0.0001742774227888897,0.0006703964217834528,65536,58019,NUTS_NL_01m_2024.shp,NL,2021,July,7
2021-08-01,2021-09-01,-0.0014935253420844674,0.0016184180276468396,-7.39131818236471e-05,0.0004000076005547694,65536,47617,NUTS_NL_01m_2024.shp,NL,2021,August,8
2021-09-01,2021-10-01,-0.0013957327464595437,0.0025541374925523996,4.5663697898282425e-05,0.0008221625163132669,65536,63103,NUTS_NL_01m_2024.shp,NL,2021,September,9
2021-10-01,2021-11-01,-0.0012439581332728267,0.006859274581074715,0.0016206313953744409,0.0023619646138443736,65536,64829,NUTS_NL_01m_2024.shp,NL,2021,October,10
2022-01-01,2022-02-01,-0.001361866481602192,0.007535303942859173,0.001259071447743277,0.0018302368908471197,65536,64446,NUTS_NL_01m_2024.shp,NL,2022,January,1
2022-02-01,2022-03-01,-0.0014914744533598423,0.007761493790894747,0.0006843144873553483,0.0014411711171930012,65536,41423,NUTS_NL_01m_2024.shp,NL,2022,February,2
2022-03-01,2022-04-01,-0.0007008623797446489,0.0012644565431401134,2.0241837999327334e-05,0.0004272151456211853,65536,64963,NUTS_NL_01m_2024.shp,NL,2022,March,3
2022-04-01,2022-05-01,-0.00143901736009866,0.0027312268503010273,0.00010333358373343932,0.0005134762942601616,65536,62866,NUTS_NL_01m_2024.shp,NL,2022,April,4
2022-05-01,2022-06-01,-0.0014746659435331821,0.002406094456091523,0.00021534508501190908,0.0007458912437795919,65536,60891,NUTS_NL_01m_2024.shp,NL,2022,May,5
2022-06-01,2022-07-01,-0.0012413051445037127,0.001804704312235117,9.577792230277863e-05,0.0004689332611015516,65536,49098,NUTS_NL_01m_2024.shp,NL,2022,June,6
2022-07-01,2022-08-01,-0.00017670496890787035,0.0003417771076783538,-6.11315874266438e-05,0.00013210411747556876,65536,65476,NUTS_NL_01m_2024.shp,NL,2022,July,7
2022-08-01,2022-09-01,-0.0014640927547588944,0.0020558738615363836,3.0893910217861814e-05,0.0006287034159952601,65536,36534,NUTS_NL_01m_2024.shp,NL,2022,August,8
2022-09-01,2022-10-01,-0.0014385147951543331,0.012145317159593105,0.0002720709433236881,0.0011890451181969786,65536,37666,NUTS_NL_01m_2024.shp,NL,2022,September,9
2022-10-01,2022-11-01,-0.0014992353972047567,0.006867217365652323,0.0008379358430702177,0.0015648438296695134,65536,49538,NUTS_NL_01m_2024.shp,NL,2022,October,10
2023-01-01,2023-02-01,-0.0014860279625281692,0.01568249799311161,0.0011336737262089545,0.002512769853342064,65536,64471,NUTS_NL_01m_2024.shp,NL,2023,January,1
2023-02-01,2023-03-01,-0.0014601113507524133,0.005876584444195032,0.0005316113572638528,0.0011060001465691477,65536,36540,NUTS_NL_01m_2024.shp,NL,2023,February,2
2023-04-01,2023-05-01,-0.0014992003561928868,0.0021532890386879444,-5.83020717070026e-05,0.000572496844488174,65536,35454,NUTS_NL_01m_2024.shp,NL,2023,April,4
2023-05-01,2023-06-01,-0.0014960404951125383,0.0024439007975161076,-4.1610853603959885e-05,0.000681189205932123,65536,36284,NUTS_NL_01m_2024.shp,NL,2023,May,5
2023-06-01,2023-07-01,-0.0014397953636944294,0.0058235120959579945,0.0002790794466334657,0.0011404992025233708,65536,56373,NUTS_NL_01m_2024.shp,NL,2023,June,6
2023-08-01,2023-09-01,-0.0014020920498296618,0.0015588852111250162,-5.66163634460174e-05,0.00039847739524102014,65536,44617,NUTS_NL_01m_2024.shp,NL,2023,August,8
2023-09-01,2023-10-01,-0.0014879558002576232,0.004676712676882744,0.00021303413783735163,0.0010023262101658177,65536,46528,NUTS_NL_01m_2024.shp,NL,2023,September,9
2023-10-01,2023-11-01,-0.0014706847723573446,0.007341390009969473,0.0015951479361566395,0.0018838702995838473,65536,61302,NUTS_NL_01m_2024.shp,NL,2023,October,10
2024-01-01,2024-02-01,-0.0012043120805174112,0.012834043242037296,0.002774192588984173,0.003424501716092937,65536,64522,NUTS_NL_01m_2024.shp,NL,2024,January,1
2024-03-01,2024-04-01,-0.0014888482401147485,0.002470955951139331,0.00010552114005584323,0.0007116698268280744,65536,51764,NUTS_NL_01m_2024.shp,NL,2024,March,3
2024-04-01,2024-05-01,-0.0014815493486821651,0.003530090441927314,0.00011595389507205489,0.0006604810592884268,65536,39400,NUTS_NL_01m_2024.shp,NL,2024,April,4
2024-05-01,2024-06-01,-0.0009771848563104868,0.0007797132711857557,-1.8019730358468346e-05,0.0004979898166496864,65536,64750,NUTS_NL_01m_2024.shp,NL,2024,May,5
2024-06-01,2024-07-01,-0.0014612807426601648,0.002334380755200982,5.435312701814151e-06,0.00043277176649630114,65536,54516,NUTS_NL_01m_2024.shp,NL,2024,June,6
2024-07-01,2024-08-01,-0.0014781573554500937,0.0028880282770842314,3.40285343892265e-05,0.0006113707079510709,65536,46014,NUTS_NL_01m_2024.shp,NL,2024,July,7
2024-08-01,2024-09-01,-0.0014606330078095198,0.002158272545784712,-5.61083260407685e-05,0.0005800562664193976,65536,34960,NUTS_NL_01m_2024.shp,NL,2024,August,8
2024-09-01,2024-10-01,-0.0014826732221990824,0.004137340467423201,0.00039427174373812737,0.001013997667831116,65536,59647,NUTS_NL_01m_2024.shp,NL,2024,September,9
2024-10-01,2024-11-01,-0.001439208397641778,0.005656892899423838,0.0004972860567582348,0.0012593489130487414,65536,63881,NUTS_NL_01m_2024.shp,NL,2024,October,10
2018-04-01,2018-05-01,-0.0003790251794271171,0.000635330390650779,0.00022887089857289293,0.0003442270215651458,65536,63340,NUTS_NL_01m_2024.shp,NL1,2018,April,4
2018-05-01,2018-06-01,-0.0013017890742048621,0.0027379184029996395,5.4405086677665355e-05,0.0006997837707548834,65536,56225,NUTS_NL_01m_2024.shp,NL1,2018,May,5
2018-06-01,2018-07-01,-0.001284376485273242,0.0016324936877936125,-4.933592103259666e-05,0.0005223993076729362,65536,29375,NUTS_NL_01m_2024.shp,NL1,2018,June,6
2018-07-01,2018-08-01,-0.0014860121300444007,0.0014533753274008632,3.240306443976499e-05,0.0004947890694416904,65536,39959,NUTS_NL_01m_2024.shp,NL1,2018,July,7
2018-08-01,2018-09-01,-0.001259361393749714,0.0011120992712676525,8.06891869735335e-07,0.0003240907765405369,65536,44060,NUTS_NL_01m_2024.shp,NL1,2018,August,8
2018-10-01,2018-11-01,-0.0014902632683515549,0.00407614279538393,0.00042420905208563495,0.0011969633585199892,65536,35667,NUTS_NL_01m_2024.shp,NL1,2018,October,10
2019-02-01,2019-03-01,-0.0013941030483692884,0.005409647710621357,0.0007562969946516342,0.0015623135134753634,65536,60312,NUTS_NL_01m_2024.shp,NL1,2019,February,2
2019-03-01,2019-04-01,-0.001460827188566327,0.005305944010615349,7.233157168295244e-05,0.0007439639243739856,65536,34576,NUTS_NL_01m_2024.shp,NL1,2019,March,3
2019-04-01,2019-05-01,-0.0012997175799682736,0.0010728919878602028,-0.00013610336119405076,0.0004406168517621591,65536,55223,NUTS_NL_01m_2024.shp,NL1,2019,April,4
2019-05-01,2019-06-01,-0.0014732131967321038,0.003070209873840213,0.00018244637780445133,0.0008691380045133479,65536,49454,NUTS_NL_01m_2024.shp,NL1,2019,May,5
