interval_from,interval_to,o3_B0_min,o3_B0_max,o3_B0_mean,o3_B0_stDev,o3_B0_sampleCount,o3_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2018-04-01,2018-05-01,0.16792894899845123,0.19533048570156097,0.18110517892297703,0.007355522655756273,65536,34698,NUTS_NL_01m_2024.shp,NL,2018,April,4
2018-05-01,2018-06-01,0.14572890102863312,0.15584921836853027,0.15060701298685894,0.0020480278278081974,65536,34698,NUTS_NL_01m_2024.shp,NL,2018,May,5
2018-06-01,2018-07-01,0.13895903527736664,0.14583905041217804,0.14286667022718147,0.0010705169329666944,65536,34698,NUTS_NL_01m_2024.shp,NL,2018,June,6
2018-07-01,2018-08-01,0.13655032217502594,0.1501697599887848,0.14385193617999584,0.0024025672355021126,65536,34698,NUTS_NL_01m_2024.shp,NL,2018,July,7
2018-08-01,2018-09-01,0.14193172752857208,0.1532987356185913,0.14847992098403492,0.0019202437273306914,65536,34698,NUTS_NL_01m_2024.shp,NL,2018,August,8
2018-09-01,2018-10-01,0.13043512403964996,0.1387757509946823,0.13284320900908636,0.0009990508027502806,65536,49618,NUTS_NL_01m_2024.shp,NL,2018,September,9
2018-10-01,2018-11-01,0.13542670011520386,0.1430666446685791,0.1392614139684052,0.0011566709595076988,65536,34698,NUTS_NL_01m_2024.shp,NL,2018,October,10
2018-11-01,2018-12-01,0.13820567727088928,0.14494332671165466,0.14200804503412895,0.000991670815520393,65536,34698,NUTS_NL_01m_2024.shp,NL,2018,November,11
2018-12-01,2019-01-01,0.12570956349372864,0.13375705480575562,0.12953392794348925,0.0014459774702511381,65536,34698,NUTS_NL_01m_2024.shp,NL,2018,December,12
2019-01-01,2019-02-01,0.15606610476970673,0.18496495485305786,0.16634744519187242,0.007799593931339649,65536,35127,NUTS_NL_01m_2024.shp,NL,2019,January,1
2019-02-01,2019-03-01,0.1356395035982132,0.1521075814962387,0.14275339759059535,0.0036309069634047754,65536,34698,NUTS_NL_01m_2024.shp,NL,2019,February,2
2019-03-01,2019-04-01,0.14595863223075867,0.16589340567588806,0.152077538488543,0.0033400060021202844,65536,34698,NUTS_NL_01m_2024.shp,NL,2019,March,3
2019-04-01,2019-05-01,0.14587074518203735,0.16120542585849762,0.15465473655082962,0.0023581388400017284,65536,34698,NUTS_NL_01m_2024.shp,NL,2019,April,4
2019-05-01,2019-06-01,0.14043989777565002,0.15044771134853363,0.14518321951900387,0.001131854026987141,65536,34698,NUTS_NL_01m_2024.shp,NL,2019,May,5
2019-06-01,2019-07-01,0.13428089022636414,0.1465548276901245,0.13990583684124258,0.0021849910855595966,65536,34698,NUTS_NL_01m_2024.shp,NL,2019,June,6
2019-07-01,2019-08-01,0.14930003881454468,0.1593366265296936,0.1525840485367343,0.0019227733888167542,65536,48579,NUTS_NL_01m_2024.shp,NL,2019,July,7
2019-08-01,2019-09-01,0.12347591668367386,0.12986163794994354,0.1265295971100662,0.0009602405644824536,65536,34698,NUTS_NL_01m_2024.shp,NL,2019,August,8
2019-09-01,2019-10-01,0.1181398332118988,0.12891696393489838,0.12428313978410167,0.002048521586167452,65536,34698,NUTS_NL_01m_2024.shp,NL,2019,September,9
2019-10-01,2019-11-01,0.12920384109020233,0.13826818764209747,0.13401798038372012,0.0015552104231597742,65536,34698,NUTS_NL_01m_2024.shp,NL,2019,October,10
2019-11-01,2019-12-01,0.10933554917573929,0.12817974388599396,0.11797382388070939,0.004513468735054613,65536,34698,NUTS_NL_01m_2024.shp,NL,2019,November,11
2019-12-01,2020-01-01,0.1289295256137848,0.14110234379768372,0.13413100050607424,0.0018655868086831968,65536,34698,NUTS_NL_01m_2024.shp,NL,2019,December,12
2020-01-01,2020-02-01,0.1220586895942688,0.12990409135818481,0.125825100101018,0.0014434158668029263,65536,34698,NUTS_NL_01m_2024.shp,NL,2020,January,1
2020-02-01,2020-03-01,0.20218504965305328,0.20800445973873138,0.20518138528065394,0.0015999584353762928,65536,64620,NUTS_NL_01m_2024.shp,NL,2020,February,2
2020-03-01,2020-04-01,0.14947597682476044,0.16636694967746735,0.1560710746775855,0.0029858475522094017,65536,34698,NUTS_NL_01m_2024.shp,NL,2020,March,3
2020-04-01,2020-05-01,0.1747567355632782,0.18923549354076385,0.18299601825642903,0.002420772707721884,65536,34698,NUTS_NL_01m_2024.shp,NL,2020,April,4
2020-05-01,2020-06-01,0.14478935301303864,0.15421704947948456,0.15017586516625833,0.0016682850790092959,65536,34698,NUTS_NL_01m_2024.shp,NL,2020,May,5
2020-06-01,2020-07-01,0.1333993524312973,0.14861024916172028,0.14026334637569268,0.002705170682604451,65536,34698,NUTS_NL_01m_2024.shp,NL,2020,June,6
2020-07-01,2020-08-01,0.12816807627677917,0.13460518419742584,0.1312369373925689,0.0010693491129944292,65536,34698,NUTS_NL_01m_2024.shp,NL,2020,July,7
2020-08-01,2020-09-01,0.1399017721414566,0.14931026101112366,0.1439078502263744,0.001452416838776019,65536,34698,NUTS_NL_01m_2024.shp,NL,2020,August,8
2020-09-01,2020-10-01,0.1251334398984909,0.13257847726345062,0.12940427233641333,0.0009564126871064434,65536,34698,NUTS_NL_01m_2024.shp,NL,2020,September,9
2020-10-01,2020-11-01,0.1238962784409523,0.1350223422050476,0.12876700809100533,0.0021120208388416355,65536,34698,NUTS_NL_01m_2024.shp,NL,2020,October,10
2020-11-01,2020-12-01,0.12707602977752686,0.13539062440395355,0.13094592081761383,0.0013259452770174626,65536,34698,NUTS_NL_01m_2024.shp,NL,2020,November,11
2020-12-01,2021-01-01,0.1337961107492447,0.159686878323555,0.1468282582834667,0.004492922772425333,65536,34764,NUTS_NL_01m_2024.shp,NL,2020,December,12
2021-01-01,2021-02-01,0.16382627189159393,0.2009848803281784,0.18681387922538417,0.007674415237278107,65536,34698,NUTS_NL_01m_2024.shp,NL,2021,January,1
2021-02-01,2021-03-01,0.1601240187883377,0.17353303730487823,0.1671040448645175,0.002837448400577393,65536,34698,NUTS_NL_01m_2024.shp,NL,2021,February,2
2021-03-01,2021-04-01,0.14733245968818665,0.1615476757287979,0.1517759947157803,0.002589244824754736,65536,34698,NUTS_NL_01m_2024.shp,NL,2021,March,3
2021-04-01,2021-05-01,0.16572219133377075,0.1827245056629181,0.1724445713693988,0.002434951935713403,65536,34698,NUTS_NL_01m_2024.shp,NL,2021,April,4
2021-05-01,2021-06-01,0.14038752019405365,0.15110057592391968,0.14557636255663356,0.001452106449321486,65536,34698,NUTS_NL_01m_2024.shp,NL,2021,May,5
2021-06-01,2021-07-01,0.14496590197086334,0.15636256337165833,0.1504966870947634,0.0023793007363799305,65536,34698,NUTS_NL_01m_2024.shp,NL,2021,June,6
2021-07-01,2021-08-01,0.14964397251605988,0.1632595956325531,0.15766346663269382,0.002762552770543358,65536,34698,NUTS_NL_01m_2024.shp,NL,2021,July,7
2021-08-01,2021-09-01,0.13479042053222656,0.1486481875181198,0.14176359095901434,0.0030679804798195436,65536,34698,NUTS_NL_01m_2024.shp,NL,2021,August,8
2021-09-01,2021-10-01,0.1343625783920288,0.1444517821073532,0.13958476599115263,0.0017732613754585138,65536,34698,NUTS_NL_01m_2024.shp,NL,2021,September,9
2021-10-01,2021-11-01,0.12851950526237488,0.13620437681674957,0.13221325384510488,0.0014584209350991934,65536,34698,NUTS_NL_01m_2024.shp,NL,2021,October,10
2021-11-01,2021-12-01,0.1219586730003357,0.12823587656021118,0.12488396327617113,0.0013591990936216308,65536,63476,NUTS_NL_01m_2024.shp,NL,2021,November,11
