interval_from,interval_to,hcho_B0_min,hcho_B0_max,hcho_B0_mean,hcho_B0_stDev,hcho_B0_sampleCount,hcho_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2024-06-01,2024-07-01,-8.990798960439861e-05,9.920963930198923e-05,1.0526877192434328e-05,6.301790528105954e-05,65536,62538,NUTS_NL_01m_2024.shp,NL126,2024,June,6
2024-07-01,2024-08-01,-0.00011444347182987258,0.000323381187627092,8.628577303228423e-05,8.328606938242219e-05,65536,25888,NUTS_NL_01m_2024.shp,NL126,2024,July,7
2024-08-01,2024-09-01,-3.905480116372928e-05,0.0003414819366298616,0.0001339102037755858,8.408035835538888e-05,65536,25888,NUTS_NL_01m_2024.shp,NL126,2024,August,8
2024-09-01,2024-10-01,-0.00026657601119950414,0.00035234406823292375,0.00011017288046848735,0.00014899628347349276,65536,33308,NUTS_NL_01m_2024.shp,NL126,2024,September,9
2018-05-01,2018-06-01,0.0002912693889811635,0.0002912693889811635,0.0002912693889811635,0.0,65536,65497,NUTS_NL_01m_2024.shp,NL127,2018,May,5
2018-06-01,2018-07-01,-0.0002383379323873669,0.0004135398776270449,6.70725263682892e-05,0.00012020977748529635,65536,45955,NUTS_NL_01m_2024.shp,NL127,2018,June,6
2018-07-01,2018-08-01,-0.00011646946222754195,0.00040538853500038385,0.00010050819808706464,8.872942428561593e-05,65536,47263,NUTS_NL_01m_2024.shp,NL127,2018,July,7
2018-08-01,2018-09-01,-0.0002111713110934943,0.0003631454019341618,2.7812320103306116e-05,5.153874576868945e-05,65536,47955,NUTS_NL_01m_2024.shp,NL127,2018,August,8
2018-10-01,2018-11-01,-0.00035772292176261544,0.0004478782939258963,6.157214089493087e-05,0.00014997118432972536,65536,45955,NUTS_NL_01m_2024.shp,NL127,2018,October,10
2019-02-01,2019-03-01,-0.00012960204912815243,0.0003820832644123584,4.752541790147503e-05,0.0001501592929820309,65536,64542,NUTS_NL_01m_2024.shp,NL127,2019,February,2
2019-03-01,2019-04-01,-0.00018891808576881886,0.00021442670549731702,1.3703546431161103e-05,7.59610392232838e-05,65536,54545,NUTS_NL_01m_2024.shp,NL127,2019,March,3
2019-05-01,2019-06-01,-0.00020993918587919325,0.0003514266572892666,6.59299781451449e-05,0.00010599477967575171,65536,56340,NUTS_NL_01m_2024.shp,NL127,2019,May,5
2019-06-01,2019-07-01,-0.00010082784865517169,0.00022549342247657478,8.777249223320317e-05,6.742721322134683e-05,65536,54724,NUTS_NL_01m_2024.shp,NL127,2019,June,6
2019-07-01,2019-08-01,-2.799459480229416e-06,0.00013289456546772271,6.575760119176269e-05,4.877985141896289e-05,65536,65056,NUTS_NL_01m_2024.shp,NL127,2019,July,7
2019-08-01,2019-09-01,-0.00012418199912644923,0.0004804502532351762,0.00017143619679813922,0.00012725769281929535,65536,45955,NUTS_NL_01m_2024.shp,NL127,2019,August,8
2019-09-01,2019-10-01,-0.00020915467757731676,0.00015565154899377376,2.1921399781194158e-05,7.721986346846576e-05,65536,56848,NUTS_NL_01m_2024.shp,NL127,2019,September,9
2019-10-01,2019-11-01,-0.0002187710633734241,0.0003377323446329683,4.9767404393094016e-05,0.000121979430217866,65536,45955,NUTS_NL_01m_2024.shp,NL127,2019,October,10
2020-02-01,2020-03-01,-0.000339890451868996,0.00032665187609381974,1.3414534643048685e-05,0.00016420364369863826,65536,60714,NUTS_NL_01m_2024.shp,NL127,2020,February,2
2020-03-01,2020-04-01,-0.00027818724629469216,0.00027512607630342245,2.860746028982421e-05,0.00010040138377361506,65536,45955,NUTS_NL_01m_2024.shp,NL127,2020,March,3
2020-04-01,2020-05-01,-0.00014528055908158422,0.00025311100762337446,7.878944230470325e-06,8.154160078102075e-05,65536,56975,NUTS_NL_01m_2024.shp,NL127,2020,April,4
2020-05-01,2020-06-01,-0.00012832996435463428,0.00033998137223534286,8.322488490840813e-05,0.00010652677862533194,65536,45955,NUTS_NL_01m_2024.shp,NL127,2020,May,5
2020-07-01,2020-08-01,-0.00024573825066909194,0.0004369899688754231,9.919029136748856e-05,0.00011733198604159209,65536,45955,NUTS_NL_01m_2024.shp,NL127,2020,July,7
2020-08-01,2020-09-01,-0.00012520320888143033,0.0001510794973000884,2.536161615012536e-05,8.230111419849086e-05,65536,61195,NUTS_NL_01m_2024.shp,NL127,2020,August,8
2020-09-01,2020-10-01,-9.054374095285311e-05,0.0003396277315914631,0.00010942246753271026,0.00012618094905913785,65536,63649,NUTS_NL_01m_2024.shp,NL127,2020,September,9
2020-10-01,2020-11-01,-0.00013632465561386198,0.00023925636196509004,4.9645046073528513e-05,9.123519699626597e-05,65536,63683,NUTS_NL_01m_2024.shp,NL127,2020,October,10
2021-03-01,2021-04-01,-0.00017631120863370597,0.00033323955722153187,4.710188306236094e-05,8.454377233800512e-05,65536,45955,NUTS_NL_01m_2024.shp,NL127,2021,March,3
2021-04-01,2021-05-01,-0.00014837436901871115,0.0003314023488201201,4.295698695838137e-05,8.68591089106216e-05,65536,62211,NUTS_NL_01m_2024.shp,NL127,2021,April,4
2021-05-01,2021-06-01,-0.0002712801215238869,0.0004007270617876202,7.508750789469799e-05,0.0001355572257978129,65536,46335,NUTS_NL_01m_2024.shp,NL127,2021,May,5
2021-07-01,2021-08-01,4.642666317522526e-05,0.00012335670180618763,0.00011436954776051452,2.4710588217915544e-05,65536,65322,NUTS_NL_01m_2024.shp,NL127,2021,July,7
2021-09-01,2021-10-01,-0.00015677565534133464,0.00025180800002999604,7.673042506446047e-05,8.926091195313043e-05,65536,63730,NUTS_NL_01m_2024.shp,NL127,2021,September,9
2021-10-01,2021-11-01,-5.373842941480689e-05,-5.373842941480689e-05,-5.373842941480689e-05,0.0,65536,65511,NUTS_NL_01m_2024.shp,NL127,2021,October,10
2022-02-01,2022-03-01,-0.000311763898935169,0.0004470426356419921,4.872749000667741e-05,0.0001362776938011943,65536,45955,NUTS_NL_01m_2024.shp,NL127,2022,February,2
2022-04-01,2022-05-01,-0.00015599575999658555,0.00020975296502001584,2.1523696574396942e-05,7.205111316749104e-05,65536,61255,NUTS_NL_01m_2024.shp,NL127,2022,April,4
2022-05-01,2022-06-01,-0.0001485351676819846,0.00040620300569571555,7.489231494729616e-05,0.00011877258405989674,65536,64031,NUTS_NL_01m_2024.shp,NL127,2022,May,5
2022-06-01,2022-07-01,-0.00020109265460632741,0.0003765904693864286,0.00011242591659239668,8.981140138149592e-05,65536,46057,NUTS_NL_01m_2024.shp,NL127,2022,June,6
2022-08-01,2022-09-01,-0.00026543199783191085,0.0003245414700359106,5.4336434695381696e-05,0.00012841946566966074,65536,45955,NUTS_NL_01m_2024.shp,NL127,2022,August,8
2022-09-01,2022-10-01,-0.0002510393096599728,0.00039047314203344285,7.823963719500516e-05,0.0001405681313125933,65536,45955,NUTS_NL_01m_2024.shp,NL127,2022,September,9
2022-10-01,2022-11-01,-0.0005371429724618793,0.0005643353215418756,3.697437464258398e-05,0.00017804270392499279,65536,45955,NUTS_NL_01m_2024.shp,NL127,2022,October,10
2023-01-01,2023-02-01,-0.0001423047506250441,0.00037843218888156116,0.00012836874388327173,0.00015911882475882344,65536,62547,NUTS_NL_01m_2024.shp,NL127,2023,January,1
2023-02-01,2023-03-01,-0.0002930278133135289,0.00034306393354199827,2.4498048416005686e-05,0.00010312108142847366,65536,47742,NUTS_NL_01m_2024.shp,NL127,2023,February,2
2023-04-01,2023-05-01,-0.00025937831378541887,0.0004246224707458168,3.689199941429972e-05,0.00010101583066969572,65536,46767,NUTS_NL_01m_2024.shp,NL127,2023,April,4
2023-05-01,2023-06-01,-0.00016568241699133068,0.00026991372578777373,5.083986619877046e-05,0.00010563649147162229,65536,48436,NUTS_NL_01m_2024.shp,NL127,2023,May,5
2023-06-01,2023-07-01,-5.293282447382808e-05,0.0003810583730228245,9.313072583202844e-05,0.00012781184241574496,65536,62455,NUTS_NL_01m_2024.shp,NL127,2023,June,6
2023-08-01,2023-09-01,-0.00026186215109191835,0.00039078533882275224,2.2054934424531393e-05,0.00010254636293454955,65536,51899,NUTS_NL_01m_2024.shp,NL127,2023,August,8
2023-09-01,2023-10-01,-0.0002509001351427287,0.00033826444996520877,5.594041512682501e-05,0.00014376594319919457,65536,55829,NUTS_NL_01m_2024.shp,NL127,2023,September,9
2023-10-01,2023-11-01,-5.675044303643517e-05,7.042722427286208e-05,1.945917155315161e-05,4.9711262042323826e-05,65536,65133,NUTS_NL_01m_2024.shp,NL127,2023,October,10
2024-03-01,2024-04-01,-0.00021420019038487226,0.000273544923402369,3.884603506043827e-05,8.571493164903387e-05,65536,61555,NUTS_NL_01m_2024.shp,NL127,2024,March,3
2024-04-01,2024-05-01,-0.00021194196597207338,0.00031430262606590986,5.5824699194479244e-05,0.00010416121205321621,65536,47022,NUTS_NL_01m_2024.shp,NL127,2024,April,4
2024-06-01,2024-07-01,-0.00023490747844334692,0.00025209851446561515,2.7060683573772868e-05,9.283531839253791e-05,65536,60802,NUTS_NL_01m_2024.shp,NL127,2024,June,6
2024-07-01,2024-08-01,-9.338407835457474e-05,0.00032171199563890696,0.000102029338363499,0.0001038500316698135,65536,45955,NUTS_NL_01m_2024.shp,NL127,2024,July,7
2024-08-01,2024-09-01,-0.00017745413060765713,0.0002804356918204576,6.253599714727486e-05,0.00010083855439527497,65536,45955,NUTS_NL_01m_2024.shp,NL127,2024,August,8
2024-09-01,2024-10-01,-0.0003016828268300742,0.00032450645812787116,5.274038992985874e-05,0.00013692915153634152,65536,49289,NUTS_NL_01m_2024.shp,NL127,2024,September,9
2024-10-01,2024-11-01,-0.00027388453599996865,0.00028779893182218075,-1.4972065172703095e-05,0.00011173221869076392,65536,61752,NUTS_NL_01m_2024.shp,NL127,2024,October,10
2018-06-01,2018-07-01,-0.00018082813767250627,0.0004135398776270449,0.00010689313542882756,0.00012455400895235917,65536,22581,NUTS_NL_01m_2024.shp,NL128,2018,June,6
2018-07-01,2018-08-01,-0.00011646946222754195,0.0003957300214096904,0.00012296649150582168,0.00012338102229656468,65536,22581,NUTS_NL_01m_2024.shp,NL128,2018,July,7
2018-08-01,2018-09-01,-0.0001156206417363137,0.00017130492778960615,1.1388802699835959e-05,7.069724511136945e-05,65536,30030,NUTS_NL_01m_2024.shp,NL128,2018,August,8
2018-10-01,2018-11-01,-0.00019308562332298607,0.00040716450894251466,6.898355201284273e-05,0.00012247655460405354,65536,22581,NUTS_NL_01m_2024.shp,NL128,2018,October,10
2019-02-01,2019-03-01,1.5058944882184733e-05,0.00043308825115673244,0.00011639177135045863,0.0001230840211035021,65536,56515,NUTS_NL_01m_2024.shp,NL128,2019,February,2
2019-03-01,2019-04-01,-0.0001433236029697582,0.0001750382361933589,2.743771165025708e-05,5.1852638124662145e-05,65536,26284,NUTS_NL_01m_2024.shp,NL128,2019,March,3
2019-05-01,2019-06-01,-0.00015755325148347765,0.00029221453587524593,7.294915664102067e-05,0.00010414775054122192,65536,40757,NUTS_NL_01m_2024.shp,NL128,2019,May,5
2019-06-01,2019-07-01,2.239034557760533e-07,0.00016803770267870277,2.3180903547653602e-05,1.8133769897711655e-05,65536,61820,NUTS_NL_01m_2024.shp,NL128,2019,June,6
2019-08-01,2019-09-01,-0.00016957602929323912,0.0005307842511683702,0.00013484637198559677,0.00012424875213811186,65536,22581,NUTS_NL_01m_2024.shp,NL128,2019,August,8
2019-09-01,2019-10-01,-0.00018986967916134745,0.0002499624388292432,2.368166556070551e-06,0.00011454511207935572,65536,32330,NUTS_NL_01m_2024.shp,NL128,2019,September,9
2019-10-01,2019-11-01,-0.00021559694141615182,0.0002638707519508898,4.122118492286578e-05,0.00010585692744283291,65536,22581,NUTS_NL_01m_2024.shp,NL128,2019,October,10
2020-02-01,2020-03-01,-0.00021027379261795431,0.0004216620000079274,0.00010664706165106815,0.00014314606869170621,65536,47844,NUTS_NL_01m_2024.shp,NL128,2020,February,2
2020-03-01,2020-04-01,-0.00028648320585489273,0.00035226449836045504,4.2824209111990157e-05,0.00012605319849943954,65536,22581,NUTS_NL_01m_2024.shp,NL128,2020,March,3
2020-04-01,2020-05-01,-0.00010064634989248589,0.0002675325085874647,2.794839348031383e-05,8.354531622450506e-05,65536,35767,NUTS_NL_01m_2024.shp,NL128,2020,April,4
2020-05-01,2020-06-01,-7.608744635945186e-05,0.0002975233655888587,0.00011458652283928515,9.4054668765027e-05,65536,22581,NUTS_NL_01m_2024.shp,NL128,2020,May,5
2020-07-01,2020-08-01,-0.0002459190727677196,0.00043207473936490715,0.00011171808363164567,0.0001312389580317797,65536,22581,NUTS_NL_01m_2024.shp,NL128,2020,July,7
2020-08-01,2020-09-01,-0.00020780196064151824,0.00016755495744291693,-2.3852288172151344e-06,0.00010784390261723457,65536,57262,NUTS_NL_01m_2024.shp,NL128,2020,August,8
2020-09-01,2020-10-01,-4.738852658192627e-05,0.00011036972136935219,2.6122587532414073e-05,6.501498885690491e-05,65536,62231,NUTS_NL_01m_2024.shp,NL128,2020,September,9
2020-10-01,2020-11-01,-0.00018673462909646332,0.00034171203151345253,3.831456144407217e-05,0.0001016383562472471,65536,27614,NUTS_NL_01m_2024.shp,NL128,2020,October,10
2021-01-01,2021-02-01,-0.0002220190508523956,0.00026511194300837815,-6.81381062157993e-05,0.0001278278211280541,65536,62900,NUTS_NL_01m_2024.shp,NL128,2021,January,1
2021-02-01,2021-03-01,-4.871431883657351e-05,-1.441868062102003e-05,-3.049476103456072e-05,1.7114294502675548e-05,65536,65472,NUTS_NL_01m_2024.shp,NL128,2021,February,2
2021-03-01,2021-04-01,-0.00021058067795820534,0.00039664338692091405,6.670361373671247e-05,0.00013510263089669408,65536,22581,NUTS_NL_01m_2024.shp,NL128,2021,March,3
2021-04-01,2021-05-01,0.00022642433759756386,0.00022642433759756386,0.00022642433759756386,0.0,65536,65268,NUTS_NL_01m_2024.shp,NL128,2021,April,4
2021-05-01,2021-06-01,-0.0001915014727273956,0.00036250572884455323,9.512583308608209e-05,0.0001238801125465598,65536,22581,NUTS_NL_01m_2024.shp,NL128,2021,May,5
2021-07-01,2021-08-01,-0.00012260409130249172,0.00010779848525999114,1.465558085440983e-05,6.403762686538517e-05,65536,60645,NUTS_NL_01m_2024.shp,NL128,2021,July,7
2021-10-01,2021-11-01,-5.373842941480689e-05,-5.373842941480689e-05,-5.373842941480689e-05,0.0,65536,64777,NUTS_NL_01m_2024.shp,NL128,2021,October,10
2022-02-01,2022-03-01,-0.00032160108094103634,0.0003753522178158164,4.27596957180616e-05,0.000137341836396975,65536,22581,NUTS_NL_01m_2024.shp,NL128,2022,February,2
2022-04-01,2022-05-01,-6.369487527990714e-05,0.00011566271859919652,3.0159938566207027e-05,5.01970532398273e-05,65536,62416,NUTS_NL_01m_2024.shp,NL128,2022,April,4
2022-05-01,2022-06-01,-6.63369064568542e-05,0.00024031159409787506,9.647902327282239e-05,7.631940629651295e-05,65536,54385,NUTS_NL_01m_2024.shp,NL128,2022,May,5
2022-06-01,2022-07-01,-0.00015382295532617718,0.0003765904693864286,0.00011886476173506609,0.00010032135488601209,65536,22581,NUTS_NL_01m_2024.shp,NL128,2022,June,6
2022-08-01,2022-09-01,-0.00019380780577193946,0.00031839506118558347,5.510833649286105e-05,0.00012444433186912523,65536,22581,NUTS_NL_01m_2024.shp,NL128,2022,August,8
2022-09-01,2022-10-01,-0.0003172659198753536,0.0005084889708086848,7.869982652099338e-05,0.0001494694865809772,65536,22629,NUTS_NL_01m_2024.shp,NL128,2022,September,9
2022-10-01,2022-11-01,-0.0005162547458894551,0.0004675663367379457,3.6076086357511885e-05,0.00016468011283742918,65536,23534,NUTS_NL_01m_2024.shp,NL128,2022,October,10
2023-01-01,2023-02-01,-5.658280133502558e-05,0.00037843218888156116,8.793582779147402e-05,0.0001081954020253611,65536,60726,NUTS_NL_01m_2024.shp,NL128,2023,January,1
2023-02-01,2023-03-01,-0.00022199316299520433,0.00022256879310589284,2.1309677173388997e-05,9.338958054632172e-05,65536,22581,NUTS_NL_01m_2024.shp,NL128,2023,February,2
2023-04-01,2023-05-01,-0.0003509718517307192,0.0003355304943397641,6.148726349778554e-05,0.00012295990422040668,65536,22896,NUTS_NL_01m_2024.shp,NL128,2023,April,4
2023-05-01,2023-06-01,-0.00018178251048084348,0.00035830086562782526,7.995809598808966e-05,0.00012556126744812427,65536,22581,NUTS_NL_01m_2024.shp,NL128,2023,May,5
2023-06-01,2023-07-01,-0.00011837915371870622,0.0003740634419955313,0.00012625366525005993,0.0001151997059321666,65536,54923,NUTS_NL_01m_2024.shp,NL128,2023,June,6
2023-08-01,2023-09-01,-0.00024401566770393401,0.00024294124159496278,-1.7547581167155968e-05,0.00010486202865239457,65536,33021,NUTS_NL_01m_2024.shp,NL128,2023,August,8
2023-09-01,2023-10-01,-0.00016306765610352159,0.00034910300746560097,0.00011664684348260903,0.00011915365536726965,65536,46607,NUTS_NL_01m_2024.shp,NL128,2023,September,9
2023-10-01,2023-11-01,-0.00029894860927015543,0.0003749634197447449,5.582691818602246e-06,0.00016082794363029646,65536,41830,NUTS_NL_01m_2024.shp,NL128,2023,October,10
2024-03-01,2024-04-01,-0.00023177922412287444,0.0004613021155819297,7.24856696422263e-05,0.00014249180547434213,65536,26231,NUTS_NL_01m_2024.shp,NL128,2024,March,3
2024-04-01,2024-05-01,-0.0001678126136539504,0.00031430262606590986,4.669413878640331e-05,9.688690279480798e-05,65536,22581,NUTS_NL_01m_2024.shp,NL128,2024,April,4
2024-06-01,2024-07-01,-0.0002497784444130957,0.00033807643922045827,4.516385023940898e-05,9.972292137757382e-05,65536,32457,NUTS_NL_01m_2024.shp,NL128,2024,June,6
2024-07-01,2024-08-01,-0.00027404434513300657,0.0003360855916980654,7.671054484487538e-05,9.999803991800408e-05,65536,22581,NUTS_NL_01m_2024.shp,NL128,2024,July,7
2024-08-01,2024-09-01,-0.00017745413060765713,0.0003414819366298616,0.00013195447163837722,0.00010328934305945456,65536,22581,NUTS_NL_01m_2024.shp,NL128,2024,August,8
2024-09-01,2024-10-01,-0.000178406888153404,0.000337889970978722,8.418783691279835e-05,0.00012020446620605295,65536,59532,NUTS_NL_01m_2024.shp,NL128,2024,September,9
2024-10-01,2024-11-01,-0.00024326621496584266,0.0004618119273800403,2.2160753328587487e-05,0.0002436308611105504,65536,62159,NUTS_NL_01m_2024.shp,NL128,2024,October,10
2018-04-01,2018-05-01,0.00019393960246816278,0.0004604624991770834,0.0003455079132930092,9.095312693042163e-05,65536,59936,NUTS_NL_01m_2024.shp,NL13,2018,April,4
2018-05-01,2018-06-01,-7.142960384953767e-05,0.0003406180185265839,0.00017858156982389519,0.00010350663818543341,65536,58807,NUTS_NL_01m_2024.shp,NL13,2018,May,5
2018-06-01,2018-07-01,-0.00022787577472627163,0.00039686859236098826,6.677977926432057e-05,0.00012745452730498165,65536,24207,NUTS_NL_01m_2024.shp,NL13,2018,June,6
2018-07-01,2018-08-01,-5.5163534852908924e-05,0.0003894837573170662,0.00014606602413571934,0.00010624215860696512,65536,36749,NUTS_NL_01m_2024.shp,NL13,2018,July,7
2018-08-01,2018-09-01,-6.404776650015265e-05,0.00010401720646768808,3.6502959310977956e-05,4.898420932958271e-05,65536,56488,NUTS_NL_01m_2024.shp,NL13,2018,August,8
2018-09-01,2018-10-01,-0.000144045174238272,0.00022158466163091362,3.604925751518996e-05,7.388150103790091e-05,65536,53688,NUTS_NL_01m_2024.shp,NL13,2018,September,9
2018-10-01,2018-11-01,-0.0004973483737558126,0.0004473633598536253,1.4357652260457305e-05,0.00017117058656928875,65536,24207,NUTS_NL_01m_2024.shp,NL13,2018,October,10
2019-02-01,2019-03-01,-4.0868962969398126e-05,0.00019396650895942003,5.2065032706617786e-05,7.439167161124698e-05,65536,63883,NUTS_NL_01m_2024.shp,NL13,2019,February,2
2019-03-01,2019-04-01,-0.00013903348008170724,0.0001794766722014174,1.7383119208995698e-05,7.167726390135118e-05,65536,41363,NUTS_NL_01m_2024.shp,NL13,2019,March,3
2019-04-01,2019-05-01,-8.60224463394843e-05,0.0003358770627528429,0.00011269922546288759,0.00010032049071419745,65536,43379,NUTS_NL_01m_2024.shp,NL13,2019,April,4
2019-05-01,2019-06-01,-0.00015961086319293827,0.00019886692462023348,4.575380663337917e-05,4.6532330925375306e-05,65536,52559,NUTS_NL_01m_2024.shp,NL13,2019,May,5
2019-06-01,2019-07-01,-0.00014706804358866066,0.0003682382812257856,7.861760214600223e-05,7.376347691431183e-05,65536,25499,NUTS_NL_01m_2024.shp,NL13,2019,June,6
2019-07-01,2019-08-01,-6.908739305799827e-05,0.00012362557754386216,1.2393022241428178e-06,6.404853611556887e-05,65536,61206,NUTS_NL_01m_2024.shp,NL13,2019,July,7
2019-08-01,2019-09-01,-0.0002453668275848031,0.000477111287182197,0.00014051435870536354,0.0001301479235260176,65536,24207,NUTS_NL_01m_2024.shp,NL13,2019,August,8
2019-09-01,2019-10-01,-7.730118522886187e-05,0.00033164466731250286,6.500831504156532e-05,0.00010476131306031307,65536,58447,NUTS_NL_01m_2024.shp,NL13,2019,September,9
2019-10-01,2019-11-01,-0.0002803540846798569,0.00042572885286062956,9.407139364235104e-05,0.00015520567039668904,65536,24207,NUTS_NL_01m_2024.shp,NL13,2019,October,10
2020-01-01,2020-02-01,7.414771971525624e-05,9.01707899174653e-05,8.849881737462609e-05,4.8984325295006745e-06,65536,65421,NUTS_NL_01m_2024.shp,NL13,2020,January,1
2020-02-01,2020-03-01,-0.00037799071287736297,0.0005712139536626637,9.979077558962406e-05,0.00015585222228690785,65536,31470,NUTS_NL_01m_2024.shp,NL13,2020,February,2
2020-03-01,2020-04-01,-0.0003434295649640262,0.00039103830931708217,3.376028597372411e-05,0.00012690742798517613,65536,24207,NUTS_NL_01m_2024.shp,NL13,2020,March,3
2020-04-01,2020-05-01,-0.00012136807345086709,0.00018587021622806787,2.136805046767239e-05,7.994361584240863e-05,65536,48724,NUTS_NL_01m_2024.shp,NL13,2020,April,4
2020-05-01,2020-06-01,-9.698234498500824e-05,0.00026253864052705467,6.249492575754955e-05,9.290054618769821e-05,65536,32483,NUTS_NL_01m_2024.shp,NL13,2020,May,5
2020-06-01,2020-07-01,-4.711260044132359e-05,-4.711260044132359e-05,-4.711260044132359e-05,0.0,65536,65500,NUTS_NL_01m_2024.shp,NL13,2020,June,6
2020-07-01,2020-08-01,-0.00016675537335686386,0.0003555010771378875,0.00010425183482836589,0.00010823684456393875,65536,24207,NUTS_NL_01m_2024.shp,NL13,2020,July,7
2020-08-01,2020-09-01,-0.00014963556895963848,0.00020503366249613464,1.3554679780364932e-05,7.282521725935284e-05,65536,47075,NUTS_NL_01m_2024.shp,NL13,2020,August,8
2020-09-01,2020-10-01,-0.00013858718739356846,0.0001699441927485168,4.944259904749823e-06,8.596949522982078e-05,65536,47676,NUTS_NL_01m_2024.shp,NL13,2020,September,9
2021-02-01,2021-03-01,-0.00017898216901812702,0.00021869948250241578,6.9173356360395555e-06,9.560061102425531e-05,65536,36276,NUTS_NL_01m_2024.shp,NL13,2021,February,2
2021-03-01,2021-04-01,-0.00010496901086298749,0.00021845032460987568,2.9332849129505207e-05,7.128887807963218e-05,65536,24207,NUTS_NL_01m_2024.shp,NL13,2021,March,3
2021-04-01,2021-05-01,-0.00013261099229566753,0.0001014691952150315,-2.2258297312776e-05,7.629933539789236e-05,65536,62837,NUTS_NL_01m_2024.shp,NL13,2021,April,4
2021-05-01,2021-06-01,-0.0003309747262392193,0.0004137518408242613,8.178709951498425e-05,0.0001426132646182373,65536,24207,NUTS_NL_01m_2024.shp,NL13,2021,May,5
2021-07-01,2021-08-01,-1.2748959079544875e-06,0.0001747994974721223,6.771711120835389e-05,7.389641594077835e-05,65536,63215,NUTS_NL_01m_2024.shp,NL13,2021,July,7
2021-08-01,2021-09-01,-9.213054727297276e-05,0.0003075458516832441,5.109345625494347e-05,8.322464530409139e-05,65536,45624,NUTS_NL_01m_2024.shp,NL13,2021,August,8
2021-09-01,2021-10-01,-0.0003246760170441121,0.00019739379058592021,-5.498374831821675e-07,0.00011715542303489254,65536,50107,NUTS_NL_01m_2024.shp,NL13,2021,September,9
2022-01-01,2022-02-01,-6.587299867533147e-05,0.0001289987121708691,3.713825362110542e-05,7.20347154255706e-05,65536,62500,NUTS_NL_01m_2024.shp,NL13,2022,January,1
2022-02-01,2022-03-01,-0.0004875296726822853,0.0003921320312656462,3.439303217853712e-05,0.00015327989105252103,65536,24207,NUTS_NL_01m_2024.shp,NL13,2022,February,2
2022-06-01,2022-07-01,-0.0001441224303562194,0.00045768613927066326,0.00011603587246402051,0.00010999992944830099,65536,30102,NUTS_NL_01m_2024.shp,NL13,2022,June,6
2022-08-01,2022-09-01,-0.0001388931123074144,0.0003291534667368978,5.640699754346218e-05,0.00011232628867327017,65536,24207,NUTS_NL_01m_2024.shp,NL13,2022,August,8
2022-09-01,2022-10-01,-0.00018994309357367456,0.00032691442174836993,4.1616521921802376e-05,0.00011192862305584959,65536,25203,NUTS_NL_01m_2024.shp,NL13,2022,September,9
2022-10-01,2022-11-01,-0.000544891634490341,0.0004205484874546528,7.952692079508503e-06,0.00021649411371278048,65536,54421,NUTS_NL_01m_2024.shp,NL13,2022,October,10
2023-02-01,2023-03-01,-0.00020524270075839013,0.00022162511595524848,2.0601842732703572e-05,8.350695575457255e-05,65536,24207,NUTS_NL_01m_2024.shp,NL13,2023,February,2
2023-04-01,2023-05-01,-0.00027050310745835304,0.00037076472654007375,8.408466037444621e-05,0.00011299350980540924,65536,24207,NUTS_NL_01m_2024.shp,NL13,2023,April,4
2023-05-01,2023-06-01,-0.00032703514443710446,0.00027791454340331256,4.862145099996328e-05,0.00011246033072221246,65536,24207,NUTS_NL_01m_2024.shp,NL13,2023,May,5
2023-06-01,2023-07-01,-0.00017775464220903814,0.0003813432704191655,0.00012365203374634228,0.00018149323408485552,65536,60234,NUTS_NL_01m_2024.shp,NL13,2023,June,6
2023-08-01,2023-09-01,-0.00027010132907889783,0.00016741547733545303,-2.896031383871734e-05,0.00010479068251923784,65536,47177,NUTS_NL_01m_2024.shp,NL13,2023,August,8
2023-09-01,2023-10-01,-0.0002611014642752707,0.0002559671993367374,3.9581963483586424e-05,0.00010264296277621288,65536,43730,NUTS_NL_01m_2024.shp,NL13,2023,September,9
2023-10-01,2023-11-01,4.4900265493197367e-05,0.00023651527590118349,7.167415058704521e-05,3.782153913746082e-05,65536,64244,NUTS_NL_01m_2024.shp,NL13,2023,October,10
2024-03-01,2024-04-01,-0.0002421837270958349,0.00028604039107449353,3.688902989550411e-05,9.135075812668111e-05,65536,33007,NUTS_NL_01m_2024.shp,NL13,2024,March,3
2024-04-01,2024-05-01,-0.000217362234252505,0.00027147159562446177,3.76767019706268e-05,8.019691958477403e-05,65536,24207,NUTS_NL_01m_2024.shp,NL13,2024,April,4
2024-07-01,2024-08-01,-0.000184446937055327,0.00040307099698111415,0.00012317145928254363,0.00011455170016288962,65536,24207,NUTS_NL_01m_2024.shp,NL13,2024,July,7
2024-08-01,2024-09-01,-6.892034434713423e-05,0.0003230780130252242,0.00012513460808433318,8.960972520243829e-05,65536,24207,NUTS_NL_01m_2024.shp,NL13,2024,August,8
2024-09-01,2024-10-01,-0.00033065860043279827,0.0005380820948630571,5.158899334225128e-05,0.00015648928003346874,65536,29587,NUTS_NL_01m_2024.shp,NL13,2024,September,9
2018-05-01,2018-06-01,-7.142960384953767e-05,0.00028608107822947204,0.00013791935297529522,9.78884938208994e-05,65536,59310,NUTS_NL_01m_2024.shp,NL131,2018,May,5
2018-06-01,2018-07-01,-0.00022787577472627163,0.00039686859236098826,6.587755952412258e-05,0.0001309515228090705,65536,33446,NUTS_NL_01m_2024.shp,NL131,2018,June,6
