interval_from,interval_to,hcho_B0_min,hcho_B0_max,hcho_B0_mean,hcho_B0_stDev,hcho_B0_sampleCount,hcho_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2018-04-01,2018-05-01,0.00019393960246816278,0.0004604624991770834,0.00034791237101224054,8.688618860312392e-05,65536,63907,NUTS_NL_01m_2024.shp,NL1,2018,April,4
2018-05-01,2018-06-01,-7.142960384953767e-05,0.00042389531154185534,0.00015472583055389997,9.593252414232542e-05,65536,56484,NUTS_NL_01m_2024.shp,NL1,2018,May,5
2018-06-01,2018-07-01,-0.0002383379323873669,0.0004135398776270449,7.91436527229628e-05,0.00011753570816119476,65536,29056,NUTS_NL_01m_2024.shp,NL1,2018,June,6
2018-07-01,2018-08-01,-0.0001428087125532329,0.00040538853500038385,0.00011314261794155164,0.0001090467647307563,65536,40719,NUTS_NL_01m_2024.shp,NL1,2018,July,7
2018-08-01,2018-09-01,-0.0002111713110934943,0.0003631454019341618,2.2111882151158076e-05,6.0405858296183964e-05,65536,46684,NUTS_NL_01m_2024.shp,NL1,2018,August,8
2018-10-01,2018-11-01,-0.0004973483737558126,0.00047074700705707073,4.6153367065761436e-05,0.00015247089482317726,65536,29056,NUTS_NL_01m_2024.shp,NL1,2018,October,10
2019-02-01,2019-03-01,-0.00012960204912815243,0.00043308825115673244,8.568994082260549e-05,0.00012017333973094089,65536,63183,NUTS_NL_01m_2024.shp,NL1,2019,February,2
2019-03-01,2019-04-01,-0.00023294157290365547,0.00029416283359751105,2.113828592983539e-05,7.078123782324567e-05,65536,40484,NUTS_NL_01m_2024.shp,NL1,2019,March,3
2019-04-01,2019-05-01,-0.00017814457532949746,0.0003358770627528429,9.51379410941741e-05,0.00010426080224857205,65536,55572,NUTS_NL_01m_2024.shp,NL1,2019,April,4
2019-05-01,2019-06-01,-0.00020993918587919325,0.0003514266572892666,6.524163439412632e-05,8.947562240261429e-05,65536,53389,NUTS_NL_01m_2024.shp,NL1,2019,May,5
2019-06-01,2019-07-01,-0.00014706804358866066,0.0003682382812257856,8.039649286910612e-05,7.806641350710771e-05,65536,39044,NUTS_NL_01m_2024.shp,NL1,2019,June,6
2019-07-01,2019-08-01,-2.799459480229416e-06,0.00013289456546772271,6.504579594145504e-05,5.005604473594093e-05,65536,65362,NUTS_NL_01m_2024.shp,NL1,2019,July,7
2019-08-01,2019-09-01,-0.0002453668275848031,0.0005307842511683702,0.00014977740571690926,0.0001274693520217901,65536,29056,NUTS_NL_01m_2024.shp,NL1,2019,August,8
