,NUTS_ID,year,month,NO2,SO2,CO,O3,HCHO,PM25,GDP,population,GDP_per_capita,O3_quality,CO_quality,NO2_quality,SO2_quality,PM25_quality,HCHO_quality,season,PM25_weighted_quality,NO2_weighted_quality,O3_weighted_quality,SO2_weighted_quality,CO_weighted_quality,HCHO_weighted_quality,Index,Country,GDP_Normalized,GDP_per_capita_min,GDP_per_capita_max,Air_Inequity_Index
0,NL112,2018,1,0.4802180948172396,63.22,0.032801913,0.1823537200870709,0.25,9.13472,2464020000,46000,53565.65217391304,4,4,1,2,1,1,Winter,0.4,0.25,0.4,0.24,0.24,0.07,1.6,NL,0.5814860423993446,28379.50354609929,88559.45255474452,0.9303776678389515
1,NL112,2018,2,2.049907556,49.09,0.035761835,0.136166936,4.22,7.29672,2464020000,46000,53565.65217391304,3,4,1,1,1,1,Winter,0.4,0.25,0.30000000000000004,0.12,0.24,0.07,1.3800000000000001,NL,0.5814860423993446,28379.50354609929,88559.45255474452,0.8024507385110957
2,NL112,2018,3,0.966512717,1.17,0.037743584,0.158723335,0.2,10.68873,2464020000,46000,53565.65217391304,4,4,1,1,2,1,Spring,0.72,0.22,0.6,0.12,0.28,0.08,2.02,NL,0.5814860423993446,28379.50354609929,88559.45255474452,1.1746018056466763
3,NL112,2018,4,1.7116215097213463,0.65,0.037768232,0.1686429161516265,1.27,11.9212,2464020000,46000,53565.65217391304,4,4,1,1,2,1,Spring,0.72,0.22,0.6,0.12,0.28,0.08,2.02,NL,0.5814860423993446,28379.50354609929,88559.45255474452,1.1746018056466763
4,NL112,2018,5,2.7537631375392317,16.57,0.030603891,0.1510603010881643,3.86,10.06222,2464020000,46000,53565.65217391304,4,4,1,1,2,1,Spring,0.72,0.22,0.6,0.12,0.28,0.08,2.02,NL,0.5814860423993446,28379.50354609929,88559.45255474452,1.1746018056466763
5,NL112,2018,6,1.6552972957470309,0.19,0.029251467,0.1436924248894277,1.83,7.74873,2464020000,46000,53565.65217391304,3,3,1,1,1,1,Summer,0.25,0.15,0.8999999999999999,0.05,0.30000000000000004,0.15,1.7999999999999998,NL,0.5814860423993446,28379.50354609929,88559.45255474452,1.0466748763188203
6,NL112,2018,7,4.349642855,45.22,0.029543406,0.1424168306001041,5.63,7.98109,2464020000,46000,53565.65217391304,3,3,1,1,1,2,Summer,0.25,0.15,0.8999999999999999,0.05,0.30000000000000004,0.3,1.95,NL,0.5814860423993446,28379.50354609929,88559.45255474452,1.133897782678722
7,NL112,2018,8,0.4751686499666903,14.23,0.045776414,0.1478769336407116,0.98,7.76111,2464020000,46000,53565.65217391304,3,4,1,1,1,1,Summer,0.25,0.15,0.8999999999999999,0.05,0.4,0.15,1.9,NL,0.5814860423993446,28379.50354609929,88559.45255474452,1.1048234805587547
8,NL112,2018,9,0.7999668616696259,7.61,0.030559666,0.1301683911732863,0.45,7.54023,2464020000,46000,53565.65217391304,3,4,1,1,1,1,Autumn,0.35,0.23,0.44999999999999996,0.12,0.28,0.08,1.51,NL,0.5814860423993446,28379.50354609929,88559.45255474452,0.8780439240230105
9,NL112,2018,10,4.323067868555615,45.63,0.032848794,0.1393974505193954,1.77,7.74812,2464020000,46000,53565.65217391304,3,4,1,1,1,1,Autumn,0.35,0.23,0.44999999999999996,0.12,0.28,0.08,1.51,NL,0.5814860423993446,28379.50354609929,88559.45255474452,0.8780439240230105
10,NL112,2018,11,4.883229544,45.63,0.032418021,0.1423837122208407,1.77,8.84341,2464020000,46000,53565.65217391304,3,4,1,1,1,1,Autumn,0.35,0.23,0.44999999999999996,0.12,0.28,0.08,1.51,NL,0.5814860423993446,28379.50354609929,88559.45255474452,0.8780439240230105
