,SUBID,rdis_tmean,totn_tmean,totp_tmean,totlocp_tmean,totpload_tmean,totnload_tmean,totlocn_tmean,geometry
0,9500042,0.02951414,0.19915856,0.017858451,0.013546206,1040.7556,14768.241,0.17772056,"POLYGON ((-7.893597602844238 39.0625, -7.894802570343018 39.06333923339844, -7.880544185638428 39.105018615722656, -7.8791680335998535 39.10676956176758, -7.8791656494140625 39.10416793823242, -7.8708343505859375 39.10416793823242, -7.870833396911621 39.09583282470703, -7.8625006675720215 39.09583282470703, -7.862499713897705 39.087501525878906, -7.845834255218506 39.087501525878906, -7.845834255218506 39.079166412353516, -7.8625006675720215 39.079166412353516, -7.8625006675720215 39.07083511352539, -7.879167079925537 39.07083511352539, -7.879166603088379 39.0625, -7.879166603088379 39.0625, -7.893597602844238 39.0625))"
1,9500083,2.8162854,0.060972683,0.0036040978,0.0018459407,17829.229,382015.72,0.050946467,"POLYGON ((-8.145832061767578 38.57083511352539, -8.145834922790527 38.579166412353516, -8.154166221618652 38.579166412353516, -8.154166221618652 38.587501525878906, -8.16250228881836 38.587501525878906, -8.162501335144043 38.59583282470703, -8.179166793823242 38.59583282470703, -8.179167747497559 38.60416793823242, -8.204166412353516 38.60416793823242, -8.204168319702148 38.59583282470703, -8.254383087158203 38.59583282470703, -8.254384994506836 38.59614562988281, -8.254384994506836 38.605411529541016, -8.260173797607422 38.62046432495117, -8.271754264831543 38.634361267089844, -8.291440963745117 38.64478302001953, -8.307652473449707 38.64362335205078, -8.32386302947998 38.64362335205078, -8.326178550720215 38.652889251708984, -8.331968307495117 38.6563606262207, -8.394501686096191 38.6586799621582, -8.394501686096191 38.652889251708984, -8.397974967956543 38.652889251708984, -8.432716369628906 38.67836380004883, -8.461665153503418 38.68067932128906, -8.461664199829102 38.68647003173828, -8.554304122924805 38.68647003173828, -8.553147315979004 38.67952346801758, -8.564726829528809 38.67952346801758, -8.573990821838379 38.6853141784668, -8.579168319702148 38.6853141784668, -8.579167366027832 38.6875, -8.579166412353516 38.69583511352539, -8.587501525878906 38.69583511352539, -8.58750057220459 38.72083282470703, -8.579168319702148 38.72083282470703, -8.579168319702148 38.72916793823242, -8.57083511352539 38.72916793823242, -8.570833206176758 38.73749923706055, -8.570833206176758 38.74583435058594, -8.570834159851074 38.75416946411133, -8.570833206176758 38.76250076293945, -8.562501907348633 38.76250076293945, -8.5625 38.770835876464844, -8.545833587646484 38.770835876464844, -8.545832633972168 38.76250076293945, -8.48750114440918 38.76250076293945, -8.487500190734863 38.75416946411133, -8.454167366027832 38.75416946411133, -8.454166412353516 38.74583435058594, -8.429166793823242 38.74583435058594, -8.429166793823242 38.73749923706055, -8.420833587646484 38.73749923706055, -8.420833587646484 38.72916793823242, -8.370833396911621 38.72916793823242, -8.370832443237305 38.72083282470703, -8.354166030883789 38.72083282470703, -8.354166984558105 38.72916793823242, -8.32083511352539 38.72916793823242, -8.32083511352539 38.72083282470703, -8.312500953674316 38.72083282470703, -8.3125 38.712501525878906, -8.312501907348633 38.704166412353516, -8.304167747497559 38.704166412353516, -8.304165840148926 38.69583511352539, -8.270833969116211 38.69583511352539, -8.270833969116211 38.704166412353516, -8.26250171661377 38.704166412353516, -8.262499809265137 38.712501525878906, -8.229166984558105 38.712501525878906, -8.229166984558105 38.704166412353516, -8.204166412353516 38.704166412353516, -8.204168319702148 38.69583511352539, -8.204167366027832 38.6875, -8.195834159851074 38.6875, -8.19583511352539 38.679168701171875, -8.19583511352539 38.670833587646484, -8.13750171661377 38.670833587646484, -8.137500762939453 38.679168701171875, -8.129168510437012 38.679168701171875, -8.129167556762695 38.6875, -8.070834159851074 38.6875, -8.070833206176758 38.69583511352539, -8.0625 38.69583511352539, -8.0625 38.704166412353516, -8.03749942779541 38.704166412353516, -8.037501335144043 38.712501525878906, -8.020834922790527 38.712501525878906, -8.020834922790527 38.704166412353516, -8.012499809265137 38.704166412353516, -8.012499809265137 38.69583511352539, -7.995833396911621 38.69583511352539, -7.9958343505859375 38.6875, -7.979166030883789 38.6875, -7.979167938232422 38.679168701171875, -7.98750114440918 38.679168701171875, -7.98750114440918 38.670833587646484, -7.987499713897705 38.66250228881836, -7.9875006675720215 38.65416717529297, -7.987500190734863 38.645835876464844, -7.987502098083496 38.64478302001953, -7.990359783172607 38.64478302001953, -7.999624729156494 38.63899230957031, -8.014678955078125 38.63783264160156, -8.021625518798828 38.627410888671875, -8.034364700317383 38.627410888671875, -8.0355224609375 38.61814880371094, -8.04478645324707 38.61235809326172, -8.058682441711426 38.604251861572266, -8.074893951416016 38.605411529541016, -8.078368186950684 38.60078048706055, -8.096896171569824 38.59846115112305, -8.096896171569824 38.592674255371094, -8.10268783569336 38.592674255371094, -8.118897438049316 38.58340835571289, -8.128161430358887 38.579933166503906, -8.128162384033203 38.57083511352539, -8.128162384033203 38.57083511352539, -8.145832061767578 38.57083511352539))"
2,9500088,3.4834628,0.057847522,0.0030515415,0.0021326116,18125.535,357500.9,0.05311208,"MULTIPOLYGON (((-7.387501239776611 39.304168701171875, -7.387501239776611 39.3125, -7.379166603088379 39.3125, -7.3791680335998535 39.304168701171875, -7.3791680335998535 39.304168701171875, -7.387501239776611 39.304168701171875)), ((-7.454165935516357 39.145835876464844, -7.454166889190674 39.15416717529297, -7.470832824707031 39.15416717529297, -7.470834732055664 39.16250228881836, -7.479166507720947 39.16250228881836, -7.479166030883789 39.170833587646484, -7.5208353996276855 39.170833587646484, -7.520833969116211 39.16250228881836, -7.537498950958252 39.16250228881836, -7.537499904632568 39.170833587646484, -7.57916784286499 39.170833587646484, -7.57916784286499 39.16250228881836, -7.587501525878906 39.16250228881836, -7.587500095367432 39.170833587646484, -7.595832824707031 39.170833587646484, -7.595833778381348 39.179168701171875, -7.620833396911621 39.179168701171875, -7.620833873748779 39.1875, -7.629166603088379 39.1875, -7.629167079925537 39.19583511352539, -7.6375017166137695 39.19583511352539, -7.63749885559082 39.204166412353516, -7.654168128967285 39.204166412353516, -7.6541666984558105 39.212501525878906, -7.670834064483643 39.212501525878906, -7.670833110809326 39.22083282470703, -7.6791672706604 39.22083282470703, -7.679166793823242 39.22916793823242, -7.687501430511475 39.22916793823242, -7.687500953674316 39.23749923706055, -7.729167938232422 39.23749923706055, -7.7291669845581055 39.22916793823242, -7.745833873748779 39.22916793823242, -7.7458343505859375 39.22083282470703, -7.754166603088379 39.22083282470703, -7.754166126251221 39.22916793823242, -7.7624993324279785 39.22916793823242, -7.76249885559082 39.23749923706055, -7.762500762939453 39.24583435058594, -7.754166126251221 39.24583435058594, -7.754167079925537 39.25416946411133, -7.7458343505859375 39.25416946411133, -7.745832920074463 39.26250076293945, -7.729166507720947 39.26250076293945, -7.729167938232422 39.270835876464844, -7.720833778381348 39.270835876464844, -7.7208333015441895 39.27916717529297, -7.720834732055664 39.28750228881836, -7.720834255218506 39.295833587646484, -7.6208343505859375 39.295833587646484, -7.620832443237305 39.304168701171875, -7.612499713897705 39.304168701171875, -7.61250114440918 39.3125, -7.604167461395264 39.3125, -7.604167461395264 39.32083511352539, -7.587499618530273 39.32083511352539, -7.587501525878906 39.329166412353516, -7.579167366027832 39.329166412353516, -7.579167366027832 39.337501525878906, -7.562500953674316 39.337501525878906, -7.5625 39.34583282470703, -7.545833110809326 39.34583282470703, -7.54583215713501 39.35416793823242, -7.537499904632568 39.35416793823242, -7.537499904632568 39.36249923706055, -7.520833492279053 39.36249923706055, -7.520832538604736 39.35416793823242, -7.504167079925537 39.35416793823242, -7.504167079925537 39.34583282470703, -7.504166126251221 39.337501525878906, -7.4958343505859375 39.337501525878906, -7.495833396911621 39.329166412353516, -7.4875006675720215 39.329166412353516, -7.487502098083496 39.32083511352539, -7.454166412353516 39.32083511352539, -7.454165458679199 39.3125, -7.429168224334717 39.3125, -7.429166316986084 39.304168701171875, -7.387501239776611 39.304168701171875, -7.387501239776611 39.295833587646484, -7.3874993324279785 39.28750228881836, -7.395833969116211 39.28750228881836, -7.3958330154418945 39.27916717529297, -7.395833492279053 39.270835876464844, -7.395833492279053 39.26250076293945, -7.38749885559082 39.26250076293945, -7.387501239776611 39.25416946411133, -7.387499809265137 39.24583435058594, -7.3791680335998535 39.24583435058594, -7.379167556762695 39.23749923706055, -7.3875017166137695 39.23749923706055, -7.3874993324279785 39.22916793823242, -7.395832538604736 39.22916793823242, -7.395833969116211 39.22083282470703, -7.3958353996276855 39.2155876159668, -7.393069744110107 39.209266662597656, -7.386752605438232 39.20683670043945, -7.385781288146973 39.20198059082031, -7.383352756500244 39.19469451904297, -7.37800931930542 39.19129180908203, -7.376551151275635 39.18449020385742, -7.379166126251221 39.1818733215332, -7.3791680335998535 39.179168701171875, -7.381872177124023 39.179168701171875, -7.381896018981934 39.17914581298828, -7.387501239776611 39.17728042602539, -7.38749885559082 39.170833587646484, -7.387499809265137 39.16250228881836, -7.3958330154418945 39.16250228881836, -7.395834445953369 39.15416717529297, -7.412500381469727 39.15416717529297, -7.412501335144043 39.145835876464844, -7.420834064483643 39.145835876464844, -7.420834064483643 39.15416717529297, -7.445834159851074 39.15416717529297, -7.445834159851074 39.145835876464844, -7.445834159851074 39.145835876464844, -7.454165935516357 39.145835876464844)))"
3,9538511,1.2993014,0.020200264,0.0010037908,0.0010019699,3101.542,57994.09,0.020628715,"POLYGON ((-8.029166221618652 39.045833587646484, -8.029168128967285 39.054168701171875, -8.079167366027832 39.054168701171875, -8.079168319702148 39.0625, -8.079167366027832 39.07083511352539, -8.112499237060547 39.07083511352539, -8.11250114440918 39.079166412353516, -8.112499237060547 39.087501525878906, -8.120834350585938 39.087501525878906, -8.120832443237305 39.09583282470703, -8.120835304260254 39.09919738769531, -8.114917755126953 39.099647521972656, -8.115618705749512 39.10416793823242, -8.095833778381348 39.10416793823242, -8.095834732055664 39.11249923706055, -8.08750057220459 39.11249923706055, -8.08750057220459 39.12083435058594, -8.079168319702148 39.12083435058594, -8.079167366027832 39.12916946411133, -8.079167366027832 39.13750076293945, -8.062500953674316 39.13750076293945, -8.062500953674316 39.145835876464844, -8.029167175292969 39.145835876464844, -8.029168128967285 39.15416717529297, -7.9375 39.15416717529297, -7.9375 39.16250228881836, -7.937500953674316 39.170833587646484, -7.937501430511475 39.179168701171875, -7.937500953674316 39.1875, -7.904167652130127 39.1875, -7.904167652130127 39.19583511352539, -7.895834922790527 39.19583511352539, -7.895833492279053 39.1875, -7.88749885559082 39.1875, -7.887500286102295 39.179168701171875, -7.887500286102295 39.170833587646484, -7.8874993324279785 39.16250228881836, -7.887499809265137 39.15416717529297, -7.8874993324279785 39.145835876464844, -7.895833969116211 39.145835876464844, -7.895834445953369 39.13750076293945, -7.895833492279053 39.12916946411133, -7.9041666984558105 39.12916946411133, -7.9041666984558105 39.12083435058594, -7.912501335144043 39.12083435058594, -7.912500858306885 39.11249923706055, -7.912498950958252 39.10416793823242, -7.912501811981201 39.09583282470703, -7.920834064483643 39.09583282470703, -7.92083215713501 39.087501525878906, -7.9291672706604 39.087501525878906, -7.929168701171875 39.079166412353516, -7.945834159851074 39.079166412353516, -7.945832252502441 39.07083511352539, -7.970832347869873 39.07083511352539, -7.970835208892822 39.0625, -7.979166030883789 39.0625, -7.9791669845581055 39.054168701171875, -8.012500762939453 39.054168701171875, -8.01250171661377 39.045833587646484, -8.01250171661377 39.045833587646484, -8.029166221618652 39.045833587646484))"
4,9538528,0.85052645,0.09315073,0.0038649838,0.0032520844,7134.1523,172799.11,0.08946436,"POLYGON ((-7.78749942779541 39.079166412353516, -7.787500858306885 39.087501525878906, -7.845834255218506 39.087501525878906, -7.845832824707031 39.09583282470703, -7.854167461395264 39.09583282470703, -7.854166507720947 39.10416793823242, -7.854166030883789 39.11084747314453, -7.840537071228027 39.1083984375, -7.836502552032471 39.109493255615234, -7.839926242828369 39.11249923706055, -7.837501525878906 39.11249923706055, -7.837501049041748 39.12083435058594, -7.770832538604736 39.12083435058594, -7.770833969116211 39.12916946411133, -7.754166126251221 39.12916946411133, -7.754167079925537 39.13750076293945, -7.729166507720947 39.13750076293945, -7.729166030883789 39.145835876464844, -7.7208333015441895 39.145835876464844, -7.720832824707031 39.15416717529297, -7.712500095367432 39.15416717529297, -7.71250057220459 39.16250228881836, -7.712500095367432 39.170833587646484, -7.704168319702148 39.170833587646484, -7.704168319702148 39.179168701171875, -7.70416784286499 39.1875, -7.704165935516357 39.19583511352539, -7.6875 39.19583511352539, -7.687500476837158 39.204166412353516, -7.63749885559082 39.204166412353516, -7.6375017166137695 39.19583511352539, -7.629167079925537 39.19583511352539, -7.629166603088379 39.1875, -7.620833873748779 39.1875, -7.620833396911621 39.179168701171875, -7.595833778381348 39.179168701171875, -7.595832824707031 39.170833587646484, -7.587500095367432 39.170833587646484, -7.587501525878906 39.16250228881836, -7.587499618530273 39.15416717529297, -7.595832824707031 39.15416717529297, -7.595833778381348 39.145835876464844, -7.604166030883789 39.145835876464844, -7.604167938232422 39.13750076293945, -7.629167556762695 39.13750076293945, -7.629168510437012 39.12916946411133, -7.637500762939453 39.12916946411133, -7.6375017166137695 39.12083435058594, -7.6458330154418945 39.12083435058594, -7.645833492279053 39.11249923706055, -7.654167175292969 39.11249923706055, -7.654165744781494 39.10416793823242, -7.654166221618652 39.09583282470703, -7.670833110809326 39.09583282470703, -7.670833110809326 39.087501525878906, -7.745835304260254 39.087501525878906, -7.745833396911621 39.079166412353516, -7.745833396911621 39.079166412353516, -7.78749942779541 39.079166412353516))"
5,9538562,1.2850611,0.020589618,0.0012037981,0.0012439673,3134.154,48646.105,0.021422125,"MULTIPOLYGON (((-8.370834350585938 39.00416946411133, -8.370834350585938 39.01250076293945, -8.36249828338623 39.01250076293945, -8.362500190734863 39.00416946411133, -8.362500190734863 39.00416946411133, -8.370834350585938 39.00416946411133)), ((-8.379166603088379 39.01250076293945, -8.379169464111328 39.020835876464844, -8.379167556762695 39.02916717529297, -8.387499809265137 39.02916717529297, -8.387500762939453 39.03750228881836, -8.379167556762695 39.03750228881836, -8.379167556762695 39.045833587646484, -8.379168510437012 39.054168701171875, -8.379167556762695 39.0625, -8.387500762939453 39.0625, -8.38750171661377 39.07083511352539, -8.387499809265137 39.079166412353516, -8.379167556762695 39.079166412353516, -8.379167556762695 39.087501525878906, -8.345833778381348 39.087501525878906, -8.345834732055664 39.09583282470703, -8.337501525878906 39.09583282470703, -8.337499618530273 39.10416793823242, -8.329166412353516 39.10416793823242, -8.329168319702148 39.11249923706055, -8.320834159851074 39.11249923706055, -8.320834159851074 39.12083435058594, -8.320834159851074 39.12916946411133, -8.312500953674316 39.12916946411133, -8.312501907348633 39.13750076293945, -8.312501907348633 39.145835876464844, -8.295833587646484 39.145835876464844, -8.295832633972168 39.15416717529297, -8.279167175292969 39.15416717529297, -8.279166221618652 39.16250228881836, -8.254168510437012 39.16250228881836, -8.254168510437012 39.170833587646484, -8.237500190734863 39.170833587646484, -8.237500190734863 39.179168701171875, -8.229166030883789 39.179168701171875, -8.229166984558105 39.1875, -8.212501525878906 39.1875, -8.212499618530273 39.19583511352539, -8.195834159851074 39.19583511352539, -8.19583511352539 39.204166412353516, -8.187501907348633 39.204166412353516, -8.187501907348633 39.19583511352539, -8.179167747497559 39.19583511352539, -8.179167747497559 39.1875, -8.1708345413208 39.1875, -8.170832633972168 39.179168701171875, -8.1708345413208 39.170833587646484, -8.154168128967285 39.170833587646484, -8.154168128967285 39.16250228881836, -8.154167175292969 39.15416717529297, -8.162501335144043 39.15416717529297, -8.162501335144043 39.145835876464844, -8.1708345413208 39.145835876464844, -8.170832633972168 39.13750076293945, -8.170832633972168 39.12916946411133, -8.195834159851074 39.12916946411133, -8.19583511352539 39.12083435058594, -8.204167366027832 39.12083435058594, -8.204167366027832 39.11249923706055, -8.204166412353516 39.10416793823242, -8.204168319702148 39.09583282470703, -8.204168319702148 39.087501525878906, -8.204167366027832 39.079166412353516, -8.204168319702148 39.07083511352539, -8.270833015441895 39.07083511352539, -8.270833969116211 39.0625, -8.295833587646484 39.0625, -8.295832633972168 39.054168701171875, -8.304166793823242 39.054168701171875, -8.304165840148926 39.045833587646484, -8.320833206176758 39.045833587646484, -8.320833206176758 39.03750228881836, -8.3291654586792 39.03750228881836, -8.329168319702148 39.02916717529297, -8.337501525878906 39.02916717529297, -8.337499618530273 39.020835876464844, -8.370832443237305 39.020835876464844, -8.370834350585938 39.01250076293945, -8.370834350585938 39.01250076293945, -8.379166603088379 39.01250076293945)))"
6,9538683,0.9080496,0.20110802,0.0064478964,0.004283117,10849.412,332914.62,0.18915088,"MULTIPOLYGON (((-7.479167938232422 38.795833587646484, -7.479167938232422 38.804168701171875, -7.495832920074463 38.804168701171875, -7.495833396911621 38.8125, -7.520834922790527 38.8125, -7.520834922790527 38.82083511352539, -7.529167175292969 38.82083511352539, -7.529167175292969 38.829166412353516, -7.537500381469727 38.829166412353516, -7.537500858306885 38.837501525878906, -7.53749942779541 38.84583282470703, -7.537499904632568 38.85416793823242, -7.53749942779541 38.86249923706055, -7.545834064483643 38.86249923706055, -7.545834064483643 38.87083435058594, -7.545834064483643 38.87916946411133, -7.554168224334717 38.87916946411133, -7.554167747497559 38.88750076293945, -7.5541672706604 38.895835876464844, -7.5541672706604 38.90416717529297, -7.562499523162842 38.90416717529297, -7.5625 38.91250228881836, -7.562499523162842 38.920833587646484, -7.562500476837158 38.929168701171875, -7.562500476837158 38.9375, -7.562499523162842 38.94583511352539, -7.570834159851074 38.94583511352539, -7.570833206176758 38.954166412353516, -7.570834159851074 38.962501525878906, -7.570833206176758 38.97083282470703, -7.570834636688232 38.97916793823242, -7.579165458679199 38.97916793823242, -7.579166889190674 38.98749923706055, -7.5875020027160645 38.98749923706055, -7.58750057220459 38.99583435058594, -7.604167938232422 38.99583435058594, -7.604166030883789 39.00416946411133, -7.612501621246338 39.00416946411133, -7.612499713897705 39.01250076293945, -7.612501621246338 39.020835876464844, -7.6208343505859375 39.020835876464844, -7.620833396911621 39.02916717529297, -7.6125006675720215 39.02916717529297, -7.61250114440918 39.03750228881836, -7.612499713897705 39.045833587646484, -7.587499618530273 39.045833587646484, -7.58750057220459 39.03750228881836, -7.562500476837158 39.03750228881836, -7.562500476837158 39.02916717529297, -7.562499523162842 39.020835876464844, -7.5541672706604 39.020835876464844, -7.554166316986084 39.01250076293945, -7.53749942779541 39.01250076293945, -7.53749942779541 39.00416946411133, -7.529167652130127 39.00416946411133, -7.529167175292969 38.99583435058594, -7.529167652130127 38.98749923706055, -7.520834922790527 38.98749923706055, -7.5208353996276855 38.97916793823242, -7.5125017166137695 38.97916793823242, -7.512501239776611 38.97083282470703, -7.504166126251221 38.97083282470703, -7.504166126251221 38.962501525878906, -7.487501621246338 38.962501525878906, -7.487500190734863 38.954166412353516, -7.479167938232422 38.954166412353516, -7.479166030883789 38.94583511352539, -7.479165554046631 38.9375, -7.470833778381348 38.9375, -7.4708333015441895 38.929168701171875, -7.454165935516357 38.929168701171875, -7.454166412353516 38.920833587646484, -7.445834636688232 38.920833587646484, -7.4458327293396 38.91250228881836, -7.437501430511475 38.91250228881836, -7.437499046325684 38.90416717529297, -7.4291672706604 38.90416717529297, -7.429167747497559 38.895835876464844, -7.420834064483643 38.895835876464844, -7.420834541320801 38.88750076293945, -7.420834064483643 38.87916946411133, -7.420832633972168 38.87083435058594, -7.420834064483643 38.86249923706055, -7.429166316986084 38.86249923706055, -7.429165840148926 38.85416793823242, -7.429166793823242 38.84583282470703, -7.445834636688232 38.84583282470703, -7.4458327293396 38.837501525878906, -7.4458327293396 38.829166412353516, -7.445834159851074 38.82083511352539, -7.454165458679199 38.82083511352539, -7.45416784286499 38.8125, -7.462501525878906 38.8125, -7.4625020027160645 38.804168701171875, -7.470834255218506 38.804168701171875, -7.470832824707031 38.795833587646484, -7.470832824707031 38.795833587646484, -7.479167938232422 38.795833587646484)), ((-7.587499618530273 39.045833587646484, -7.587500095367432 39.054168701171875, -7.579168319702148 39.054168701171875, -7.579165458679199 39.045833587646484, -7.579165458679199 39.045833587646484, -7.587499618530273 39.045833587646484)))"
7,9538720,0.062235452,0.06737538,0.0038534328,0.0038727408,430.1251,7957.328,0.07061489,"POLYGON ((-7.904166221618652 39.07083511352539, -7.904168128967285 39.079166412353516, -7.920834541320801 39.079166412353516, -7.92083215713501 39.087501525878906, -7.920834064483643 39.09583282470703, -7.912501811981201 39.09583282470703, -7.912498950958252 39.10416793823242, -7.912500858306885 39.11249923706055, -7.912501335144043 39.12083435058594, -7.9041666984558105 39.12083435058594, -7.9041666984558105 39.12916946411133, -7.895833492279053 39.12916946411133, -7.895834445953369 39.12083435058594, -7.887499809265137 39.12083435058594, -7.8874993324279785 39.11249923706055, -7.884755611419678 39.11249923706055, -7.890191078186035 39.09664535522461, -7.899034023284912 39.07083511352539, -7.899034023284912 39.07083511352539, -7.904166221618652 39.07083511352539))"
8,9538738,1.7954996,0.15391831,0.004890882,0.0037687484,14747.896,484113.88,0.15026864,"POLYGON ((-7.595834255218506 38.72083282470703, -7.595834255218506 38.72916793823242, -7.629167079925537 38.72916793823242, -7.629167079925537 38.73749923706055, -7.654168128967285 38.73749923706055, -7.654167175292969 38.74583435058594, -7.670834064483643 38.74583435058594, -7.670832633972168 38.75416946411133, -7.704165935516357 38.75416946411133, -7.704167366027832 38.76250076293945, -7.712501049041748 38.76250076293945, -7.712501525878906 38.75416946411133, -7.7541680335998535 38.75416946411133, -7.7541680335998535 38.74583435058594, -7.754167556762695 38.73749923706055, -7.762500286102295 38.73749923706055, -7.762501239776611 38.72916793823242, -7.829166889190674 38.72916793823242, -7.829168796539307 38.73749923706055, -7.837501525878906 38.73749923706055, -7.83750057220459 38.74583435058594, -7.845834732055664 38.74583435058594, -7.845832347869873 38.75416946411133, -7.845834255218506 38.76250076293945, -7.845834732055664 38.770835876464844, -7.837500095367432 38.770835876464844, -7.8375020027160645 38.77916717529297, -7.837499141693115 38.78750228881836, -7.829168319702148 38.78750228881836, -7.829166889190674 38.795833587646484, -7.820833206176758 38.795833587646484, -7.820835113525391 38.804168701171875, -7.820833206176758 38.8125, -7.829166412353516 38.8125, -7.829166889190674 38.82083511352539, -7.829166889190674 38.829166412353516, -7.837499618530273 38.829166412353516, -7.837499618530273 38.837501525878906, -7.845833778381348 38.837501525878906, -7.8458333015441895 38.84583282470703, -7.862500190734863 38.84583282470703, -7.862500190734863 38.85416793823242, -7.870834827423096 38.85416793823242, -7.870832920074463 38.86249923706055, -7.904168605804443 38.86249923706055, -7.904166221618652 38.87083435058594, -7.9708333015441895 38.87083435058594, -7.970833778381348 38.87916946411133, -7.979167938232422 38.87916946411133, -7.979166030883789 38.88750076293945, -7.979167938232422 38.895835876464844, -7.979166507720947 38.90416717529297, -7.96250057220459 38.90416717529297, -7.962501525878906 38.895835876464844, -7.945833206176758 38.895835876464844, -7.945833683013916 38.90416717529297, -7.9041666984558105 38.90416717529297, -7.904166221618652 38.895835876464844, -7.895833492279053 38.895835876464844, -7.8958330154418945 38.90416717529297, -7.870833396911621 38.90416717529297, -7.8708343505859375 38.895835876464844, -7.795832633972168 38.895835876464844, -7.79583215713501 38.88750076293945, -7.779167652130127 38.88750076293945, -7.779166221618652 38.87916946411133, -7.7458343505859375 38.87916946411133, -7.745832443237305 38.87083435058594, -7.712500095367432 38.87083435058594, -7.71250057220459 38.87916946411133, -7.687501430511475 38.87916946411133, -7.687500953674316 38.88750076293945, -7.66249942779541 38.88750076293945, -7.662500381469727 38.895835876464844, -7.654167175292969 38.895835876464844, -7.654168128967285 38.90416717529297, -7.645834445953369 38.90416717529297, -7.645834445953369 38.895835876464844, -7.6374993324279785 38.895835876464844, -7.63749885559082 38.88750076293945, -7.6291680335998535 38.88750076293945, -7.6291680335998535 38.87916946411133, -7.6125006675720215 38.87916946411133, -7.61250114440918 38.87083435058594, -7.604167461395264 38.87083435058594, -7.604166507720947 38.86249923706055, -7.58750057220459 38.86249923706055, -7.58750057220459 38.85416793823242, -7.57916784286499 38.85416793823242, -7.579167366027832 38.84583282470703, -7.562499046325684 38.84583282470703, -7.5625 38.837501525878906, -7.54583215713501 38.837501525878906, -7.545834064483643 38.829166412353516, -7.529167175292969 38.829166412353516, -7.529167175292969 38.82083511352539, -7.520834922790527 38.82083511352539, -7.520834922790527 38.8125, -7.520833969116211 38.804168701171875, -7.520834445953369 38.795833587646484, -7.520833969116211 38.78750228881836, -7.529167652130127 38.78750228881836, -7.529167652130127 38.77916717529297, -7.529167175292969 38.770835876464844, -7.529167652130127 38.76250076293945, -7.537501335144043 38.76250076293945, -7.537500858306885 38.75416946411133, -7.545833587646484 38.75416946411133, -7.545833110809326 38.74583435058594, -7.537500858306885 38.74583435058594, -7.537498950958252 38.73749923706055, -7.53749942779541 38.72916793823242, -7.587501525878906 38.72916793823242, -7.587500095367432 38.72083282470703, -7.587500095367432 38.72083282470703, -7.595834255218506 38.72083282470703))"
