,SUBID,Downstream_SUBID
0,9500042.0,9500024.0
1,9500083.0,9539056.0
2,9500088.0,9000991.0
3,9538511.0,9500074.0
4,9538528.0,9500024.0
5,9538562.0,9538909.0
6,9538683.0,9538600.0
7,9538720.0,9500024.0
8,9538738.0,9539045.0
9,9538760.0,9000132.0
10,9538829.0,9539377.0
11,9539020.0,9539173.0
12,9539109.0,9500024.0
13,9539142.0,9539045.0
14,9539147.0,9538600.0
15,9539288.0,9539171.0
16,9539314.0,9539583.0
17,9539385.0,9539539.0
18,9539454.0,9539377.0
19,9500098.0,9535178.0
20,9500131.0,9500119.0
21,9500137.0,9500132.0
22,9500145.0,9500132.0
23,9500179.0,9500177.0
24,9500191.0,9500177.0
25,9500212.0,9500177.0
26,9500466.0,9500463.0
27,9500470.0,9500463.0
28,9500649.0,9500640.0
29,9500652.0,9500640.0
30,9500704.0,9556556.0
31,9500872.0,9500476.0
32,9500877.0,9500476.0
33,9500902.0,9500476.0
34,9500904.0,9500476.0
35,9500914.0,9500476.0
36,9500916.0,9500476.0
37,9500938.0,9500931.0
38,9501257.0,9501218.0
39,9501431.0,9501415.0
40,9521760.0,9522095.0
41,9521852.0,9522214.0
42,9521868.0,9521957.0
43,9521943.0,9521986.0
44,9521989.0,9521744.0
45,9522105.0,9522096.0
46,9522125.0,9522214.0
47,9522154.0,9556343.0
48,9522258.0,9522095.0
49,9535199.0,9535195.0
50,9535200.0,9500119.0
51,9535206.0,9500931.0
52,9535211.0,9500640.0
53,9535222.0,9539612.0
54,9535226.0,9535478.0
55,9535229.0,9535530.0
56,9535237.0,9535602.0
57,9535266.0,9535178.0
58,9535267.0,9535486.0
59,9535271.0,9535629.0
60,9535273.0,9500640.0
61,9535278.0,9001249.0
62,9535280.0,9500119.0
63,9535295.0,9535486.0
64,9535354.0,9500177.0
65,9535370.0,9500931.0
66,9535382.0,9500640.0
67,9535398.0,9500931.0
68,9535483.0,9535629.0
69,9535491.0,9535629.0
70,9535498.0,9500177.0
71,9535532.0,9500177.0
72,9535579.0,9535208.0
73,9535626.0,9535638.0
74,9535640.0,9535530.0
75,9535678.0,9535593.0
76,9535729.0,9535219.0
77,9535769.0,9535508.0
78,9535800.0,9500177.0
79,9535836.0,9535840.0
80,9535841.0,9500177.0
81,9538647.0,9539414.0
82,9538690.0,9538536.0
83,9538724.0,9539211.0
84,9538862.0,9539211.0
85,9538902.0,9539388.0
86,9539029.0,9539149.0
87,9539032.0,9539612.0
88,9539162.0,9539047.0
89,9539229.0,9539149.0
90,9539393.0,9539149.0
91,9556306.0,9556660.0
92,9556308.0,9500132.0
93,9556345.0,9556379.0
94,9556360.0,9556561.0
95,9556371.0,9556576.0
96,9556390.0,9556722.0
97,9556397.0,9500132.0
98,9556402.0,9500198.0
99,9556413.0,9500132.0
100,9556427.0,9556692.0
101,9556439.0,9556501.0
102,9556449.0,9556709.0
103,9556463.0,9556481.0
104,9556478.0,9556687.0
105,9556479.0,9556651.0
106,9556480.0,9556460.0
107,9556483.0,9556498.0
108,9556492.0,9556648.0
109,9556512.0,9556481.0
110,9556534.0,9556539.0
111,9556545.0,9556576.0
112,9556546.0,9500579.0
