,SUBID,Non-irrigated arable land,Permanently irrigated land,Olive groves,Agro-forestry areas,Transitional woodland-shrub,Water bodies,Continuous urban fabric,Discontinuous urban fabric,Industrial or commercial units,Mineral extraction sites,Sport and leisure facilities,Rice fields,Vineyards,Pastures,Annual crops associated with permanent crops,Complex cultivation patterns,Land occupied by agriculture with natural vegetation,Broad-leaved forest,Coniferous forest,Mixed forest,Moors and heathland,Sclerophyllous vegetation,Sparsely vegetated areas,Dump sites,Construction sites,Fruit trees and berry plantations,Natural grasslands,Burnt areas,Airports,Road and rail networks,Inland marshes,Salt marshes,Salines,Estuaries,Sea and ocean,Bare rocks,Water courses,"Beaches, dunes, sands",Green urban areas,Port areas,Intertidal flats,Coastal lagoons
0,9500042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9500083.0,10.6,3.6999999999999997,1.4000000000000001,43.6,4.0,1.2,0.3,0.2,0.4,0.0,0.2,0.3,0.8999999999999999,11.0,3.5999999999999996,2.1999999999999997,0.5,8.3,2.9000000000000004,4.3999999999999995,0.1,0.0,,,,,,,,,,,,,,,,,,,,
2,9500088.0,4.5,0.6,5.3,42.4,7.5,0.1,0.4,0.4,0.5,,,,0.4,20.8,0.7000000000000001,1.7000000000000002,1.7999999999999998,12.2,,0.5,,0.3,0.1,,,,,,,,,,,,,,,,,,,
3,9538511.0,6.5,0.4,0.6,17.4,5.1,0.5,,,,,,,0.4,2.0,1.5,,,58.3,0.6,6.7,,,,,,,,,,,,,,,,,,,,,,
4,9538528.0,15.6,1.7999999999999998,8.4,42.199999999999996,4.3999999999999995,0.3,0.4,0.2,,,,,0.2,9.6,2.3,5.800000000000001,,6.7,0.2,0.2,,1.3,,0.2,,,,,,,,,,,,,,,,,,
5,9538562.0,4.0,0.8999999999999999,0.4,17.7,6.5,0.2,,0.0,,,,2.3,,,0.6,0.8,0.3,42.3,6.6000000000000005,17.299999999999997,0.1,,,,,,,,,,,,,,,,,,,,,
6,9538683.0,21.0,4.3,12.5,12.9,3.3000000000000003,0.6,0.0,0.7000000000000001,,,,,8.4,19.2,0.0,5.6000000000000005,0.8,8.7,0.6,,,0.7000000000000001,,,0.2,0.4,,,,,,,,,,,,,,,,
7,9538720.0,4.9,3.1,14.799999999999999,47.0,6.0,4.9,,,,,,,,,,,,19.3,,,,,,,,,,,,,,,,,,,,,,,,
8,9538738.0,15.299999999999999,0.4,4.8,46.1,7.000000000000001,0.3,0.4,0.0,0.2,0.2,,,2.6,3.1,1.9,3.9,0.6,12.8,,0.1,,0.5,,,,,0.1,,,,,,,,,,,,,,,
9,9538760.0,0.4,9.5,,10.7,13.200000000000001,0.8999999999999999,,,0.2,,1.2,2.0,0.5,2.4,,4.5,0.2,41.5,2.7,9.4,,,,,,,0.7000000000000001,,,,,,,,,,,,,,,
