,SUBID_A,SUBID_B
278,9557101,9500193
279,9557108,9500193
280,9562826,9500193
281,9562842,9500193
282,9562851,9500193
283,9562856,9500193
284,9562860,9500193
285,9562871,9500193
286,9562897,9500193
287,9562901,9500193
288,9562902,9500193
289,9562904,9500193
290,9562908,9500193
291,9562917,9500193
292,9562934,9500193
293,9562943,9500193
294,9562945,9500193
295,9562950,9500193
296,9562986,9500193
297,9563001,9500193
298,9563019,9500193
299,9563025,9500193
300,9563040,9500193
301,9563046,9500193
302,9563049,9500193
303,9563065,9500193
304,9563071,9500193
305,9563075,9500193
306,9563101,9500193
307,9563111,9500193
308,9563122,9500193
309,9563123,9500193
310,9563126,9500193
311,9563146,9500193
312,9563158,9500193
313,9563162,9500193
314,9563167,9500193
315,9563180,9500193
316,9563192,9500193
317,9563210,9500193
318,9563216,9500193
319,9563218,9500193
320,9563221,9500193
321,9563225,9500193
322,9563239,9500193
323,9563244,9500193
324,9563266,9500193
325,9563272,9500193
326,9563280,9500193
327,9563288,9500193
328,9563300,9500193
329,9563302,9500193
330,9563307,9500193
331,9563321,9500193
332,9563326,9500193
333,9563332,9500193
334,9563334,9500193
335,9563345,9500193
336,9563354,9500193
337,9563019,9500197
338,9556402,9500198
339,9556546,9500198
340,9556596,9500198
341,9556669,9500198
342,9556708,9500198
343,9563225,9500198
344,9556546,9500202
345,9563225,9500202
346,9500137,9500372
347,9500145,9500372
348,9500466,9500372
349,9500470,9500372
350,9500704,9500372
351,9521760,9500372
352,9521852,9500372
353,9521868,9500372
354,9521943,9500372
355,9521989,9500372
356,9522105,9500372
357,9522125,9500372
358,9522154,9500372
359,9522258,9500372
360,9556306,9500372
361,9556308,9500372
362,9556345,9500372
363,9556360,9500372
364,9556371,9500372
365,9556390,9500372
366,9556397,9500372
367,9556402,9500372
368,9556413,9500372
369,9556427,9500372
370,9556439,9500372
371,9556449,9500372
372,9556463,9500372
373,9556478,9500372
374,9556479,9500372
375,9556480,9500372
376,9556483,9500372
377,9556492,9500372
378,9556512,9500372
379,9556534,9500372
380,9556545,9500372
381,9556546,9500372
382,9556558,9500372
383,9556562,9500372
384,9556569,9500372
385,9556584,9500372
386,9556586,9500372
387,9556594,9500372
388,9556596,9500372
389,9556604,9500372
390,9556608,9500372
391,9556610,9500372
392,9556631,9500372
393,9556646,9500372
394,9556649,9500372
395,9556654,9500372
396,9556664,9500372
397,9556669,9500372
398,9556684,9500372
399,9556688,9500372
400,9556694,9500372
401,9556708,9500372
402,9556713,9500372
403,9556728,9500372
404,9556740,9500372
405,9556741,9500372
406,9556754,9500372
407,9556864,9500372
408,9556955,9500372
409,9557004,9500372
410,9557101,9500372
411,9557108,9500372
412,9563225,9500372
413,9500137,9500463
414,9500145,9500463
415,9500466,9500463
416,9500470,9500463
417,9521760,9500463
418,9521852,9500463
