,SUBID,SUBID_1,SUBID_2,SUBID_3,SUBID_4,SUBID_5,SUBID_6,SUBID_7,SUBID_8,SUBID_9,SUBID_10,SUBID_11,SUBID_12,SUBID_13,SUBID_14,SUBID_15,SUBID_16,SUBID_17,SUBID_18,SUBID_19,SUBID_20,SUBID_21,SUBID_22,SUBID_23,SUBID_24,SUBID_25,SUBID_26,SUBID_27,SUBID_28,SUBID_29,SUBID_30,SUBID_31,SUBID_32,SUBID_33,SUBID_34,SUBID_35,SUBID_36,SUBID_37,SUBID_38,SUBID_39,SUBID_40,SUBID_41,SUBID_42,SUBID_43,SUBID_44,SUBID_45,SUBID_46,SUBID_47,SUBID_48,SUBID_49,SUBID_50,SUBID_51,SUBID_52,SUBID_53,SUBID_54
30,9500074.0,9538808.0,9538909.0,9539203.0,9539274.0,9539350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,9539583.0,9500024.0,9539347.0,9539173.0,9538909.0,9539203.0,9539274.0,9539350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,9538808.0,9538909.0,9539203.0,9539274.0,9539350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,9500024.0,9539347.0,9539173.0,9538909.0,9539203.0,9539274.0,9539350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,9539347.0,9539173.0,9538909.0,9539203.0,9539274.0,9539350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9539173.0,9538909.0,9539203.0,9539274.0,9539350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,9538909.0,9539203.0,9539274.0,9539350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,9539203.0,9539274.0,9539350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,9539274.0,9539350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,9539350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,9500098.0,9535178.0,9535530.0,9535272.0,9500119.0,9001250.0,9001249.0,9500640.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,9500131.0,9500119.0,9001250.0,9001249.0,9500640.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,9500137.0,9500132.0,9556573.0,9500463.0,9556465.0,9556501.0,9556735.0,9556487.0,9556312.0,9556332.0,9556648.0,9556733.0,9556738.0,9556528.0,9556475.0,9556692.0,9501220.0,9556554.0,9556460.0,9556455.0,9556570.0,9556576.0,9500372.0,9563276.0,9563273.0,9563282.0,9562845.0,9563045.0,9563331.0,9501218.0,9562888.0,9500917.0,9500476.0,9562939.0,9562866.0,9500177.0,9535378.0,9500931.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,
43,9500145.0,9500132.0,9556573.0,9500463.0,9556465.0,9556501.0,9556735.0,9556487.0,9556312.0,9556332.0,9556648.0,9556733.0,9556738.0,9556528.0,9556475.0,9556692.0,9501220.0,9556554.0,9556460.0,9556455.0,9556570.0,9556576.0,9500372.0,9563276.0,9563273.0,9563282.0,9562845.0,9563045.0,9563331.0,9501218.0,9562888.0,9500917.0,9500476.0,9562939.0,9562866.0,9500177.0,9535378.0,9500931.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,
44,9500179.0,9500177.0,9535378.0,9500931.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,9500191.0,9500177.0,9535378.0,9500931.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,9500212.0,9500177.0,9535378.0,9500931.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,9500466.0,9500463.0,9556465.0,9556501.0,9556735.0,9556487.0,9556312.0,9556332.0,9556648.0,9556733.0,9556738.0,9556528.0,9556475.0,9556692.0,9501220.0,9556554.0,9556460.0,9556455.0,9556570.0,9556576.0,9500372.0,9563276.0,9563273.0,9563282.0,9562845.0,9563045.0,9563331.0,9501218.0,9562888.0,9500917.0,9500476.0,9562939.0,9562866.0,9500177.0,9535378.0,9500931.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,
48,9500470.0,9500463.0,9556465.0,9556501.0,9556735.0,9556487.0,9556312.0,9556332.0,9556648.0,9556733.0,9556738.0,9556528.0,9556475.0,9556692.0,9501220.0,9556554.0,9556460.0,9556455.0,9556570.0,9556576.0,9500372.0,9563276.0,9563273.0,9563282.0,9562845.0,9563045.0,9563331.0,9501218.0,9562888.0,9500917.0,9500476.0,9562939.0,9562866.0,9500177.0,9535378.0,9500931.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,
49,9500649.0,9500640.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,9500652.0,9500640.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
