NUTS_ID,EXCEED_mean
AL011,30.0
AL012,30.0
AL013,30.0
AL014,30.0
AL015,30.0
AL021,30.0
AL022,30.0
AL031,29.8
AL032,29.95
AL033,29.774193548387096
AL034,29.974358974358974
AL035,30.0
AT111,28.0
AT112,28.833333333333332
AT113,28.823529411764707
AT121,29.609756097560975
AT122,28.805555555555557
AT123,29.375
AT124,29.140350877192983
AT125,29.5625
AT126,29.70967741935484
AT127,29.38888888888889
AT130,30.0
AT211,29.714285714285715
AT212,28.42
AT213,29.625
AT221,29.714285714285715
AT222,28.906976744186046
AT223,28.925
AT224,29.125
AT225,29.962962962962962
AT226,28.675675675675677
AT311,29.545454545454547
AT312,29.333333333333332
AT313,29.862068965517242
AT314,28.925925925925927
AT315,29.533333333333335
AT321,28.0
AT322,28.384615384615383
AT323,29.904761904761905
AT331,28.857142857142858
AT332,28.64
AT333,28.04
AT334,28.263157894736842
AT335,29.0625
AT341,29.5
AT342,30.0
BE100,30.0
BE211,30.0
BE212,30.0
BE213,30.0
BE223,30.0
BE224,30.0
BE225,30.0
BE231,30.0
BE232,30.0
BE233,30.0
BE234,30.0
BE235,30.0
BE236,30.0
BE241,30.0
BE242,30.0
BE251,30.0
BE252,30.0
BE253,30.0
BE254,30.0
BE255,30.0
BE256,30.0
BE257,30.0
BE258,30.0
BE310,30.0
BE323,30.0
BE328,30.0
BE329,30.0
BE32A,30.0
BE32B,30.0
BE32C,30.0
BE32D,30.0
BE331,30.0
BE332,30.0
BE334,30.0
BE335,30.0
BE336,30.0
BE341,30.0
BE342,29.857142857142858
BE343,29.857142857142858
BE344,30.0
BE345,30.0
BE351,30.0
BE352,30.0
BE353,30.0
BG311,29.942857142857143
BG312,29.857142857142858
BG313,30.0
BG314,30.0
BG315,29.95744680851064
BG321,29.88235294117647
BG322,29.36
BG323,30.0
BG324,30.0
BG325,30.0
BG331,30.0
BG332,30.0
BG333,30.0
BG334,30.0
BG341,30.0
BG342,30.0
BG343,30.0
BG344,29.98181818181818
BG411,30.0
BG412,29.810126582278482
BG413,29.59090909090909
BG414,30.0
BG415,30.0
BG421,29.62121212121212
BG422,30.0
BG423,29.0
