NUTS_ID,EXCEED_mean
AL011,27.814814814814813
AL012,28.0
AL013,27.26923076923077
AL014,27.94736842105263
AL015,27.13157894736842
AL021,27.647058823529413
AL022,27.88888888888889
AL031,26.65
AL032,27.8
AL033,25.903225806451612
AL034,25.871794871794872
AL035,25.366666666666667
AT111,28.0
AT112,28.0
AT113,28.0
AT121,28.0
AT122,28.0
AT123,28.0
AT124,28.0
AT125,28.0
AT126,28.0
AT127,28.0
AT130,28.0
AT211,28.0
AT212,26.24
AT213,28.0
AT221,28.0
AT222,27.651162790697676
AT223,28.0
AT224,28.0
AT225,28.0
AT226,27.945945945945947
AT311,28.0
AT312,28.0
AT313,28.0
AT314,28.0
AT315,28.0
AT321,26.454545454545453
AT322,26.634615384615383
AT323,28.0
AT331,27.714285714285715
AT332,26.68
AT333,24.32
AT334,25.157894736842106
AT335,27.416666666666668
AT341,27.15
AT342,28.0
BE100,28.0
BE211,28.0
BE212,28.0
BE213,28.0
BE223,28.0
BE224,27.90909090909091
BE225,28.0
BE231,28.0
BE232,28.0
BE233,28.0
BE234,28.0
BE235,28.0
BE236,28.0
BE241,27.818181818181817
BE242,27.555555555555557
BE251,27.875
BE252,28.0
BE253,28.0
BE254,28.0
BE255,27.5
BE256,28.0
BE257,28.0
BE258,27.6
BE310,27.0
BE323,27.571428571428573
BE328,27.636363636363637
BE329,27.333333333333332
BE32A,27.11111111111111
BE32B,27.0
BE32C,27.0
BE32D,27.0
BE331,27.0
BE332,27.0
BE334,27.0
BE335,27.0
BE336,26.7
BE341,27.5
BE342,26.714285714285715
BE343,26.928571428571427
BE344,26.866666666666667
BE345,27.625
BE351,26.6
BE352,27.055555555555557
BE353,26.727272727272727
BG311,28.0
BG312,28.0
BG313,28.0
BG314,28.0
BG315,28.0
BG321,28.0
BG322,28.0
BG323,28.0
BG324,28.0
BG325,28.0
BG331,28.0
BG332,28.0
BG333,28.0
BG334,28.0
BG341,28.0
BG342,28.0
BG343,28.0
BG344,27.963636363636365
BG411,27.866666666666667
BG412,27.696202531645568
BG413,26.893939393939394
BG414,27.833333333333332
BG415,27.52777777777778
BG421,27.863636363636363
BG422,27.983050847457626
BG423,27.333333333333332
BG424,27.34285714285714
BG425,28.0
CH011,27.97142857142857
CH012,23.901639344262296
CH013,28.0
CH021,26.940298507462686
CH022,28.0
CH023,28.0
CH024,28.0
CH025,28.0
CH032,28.0
CH033,28.0
CH040,28.0
CH051,25.875
CH052,28.0
CH053,28.0
CH054,28.0
CH055,27.869565217391305
CH056,26.04705882352941
CH057,28.0
CH061,27.944444444444443
CH062,25.076923076923077
CH063,27.1
CH064,26.285714285714285
CH065,27.5
CH066,28.0
CH070,25.625
CY000,27.923076923076923
CZ010,28.0
CZ020,27.992592592592594
CZ031,28.0
CZ032,27.537634408602152
CZ041,27.875
CZ042,27.956521739130434
CZ051,28.0
CZ052,28.0
CZ053,28.0
CZ063,28.0
CZ064,28.0
CZ071,28.0
CZ072,28.0
CZ080,28.0
DE111,28.0
DE112,27.875
DE113,28.0
DE114,28.0
DE115,27.875
DE116,28.0
DE118,28.0
DE119,28.0
DE11A,28.0
DE11B,28.0
DE11C,28.0
DE11D,28.0
DE121,28.0
DE122,28.0
DE123,28.0
DE124,28.0
DE125,28.0
DE126,28.0
DE127,28.0
DE128,28.0
DE129,28.0
DE12A,27.90909090909091
DE12B,27.666666666666668
DE12C,27.22222222222222
DE131,28.0
DE132,27.625
DE133,27.88888888888889
DE134,27.869565217391305
DE135,27.77777777777778
DE136,27.272727272727273
DE137,28.0
DE138,28.0
DE139,28.0
DE13A,27.642857142857142
DE141,27.4
DE142,28.0
DE143,27.7
DE144,28.0
DE145,28.0
DE146,28.0
DE147,28.0
DE148,28.0
DE149,28.0
DE211,28.0
DE212,27.666666666666668
DE214,28.0
DE215,28.0
DE216,27.642857142857142
DE217,27.0
DE218,28.0
DE219,28.0
DE21A,27.636363636363637
DE21B,27.22222222222222
DE21C,27.0
DE21D,27.928571428571427
DE21E,27.2
DE21F,27.636363636363637
DE21G,28.0
DE21H,28.0
DE21I,28.0
DE21J,28.0
DE21K,28.0
DE21L,27.75
DE21M,28.0
DE21N,28.0
DE222,28.0
DE223,28.0
DE224,28.0
DE225,28.0
DE226,27.833333333333332
DE227,27.789473684210527
DE228,28.0
DE229,28.0
DE22A,28.0
DE22B,28.0
DE22C,28.0
DE232,28.0
DE233,28.0
DE234,28.0
DE235,27.842105263157894
DE236,28.0
DE237,27.894736842105264
DE238,28.0
DE239,27.842105263157894
DE23A,28.0
DE241,28.0
DE242,28.0
DE244,28.0
DE245,28.0
DE246,28.0
DE247,28.0
DE248,28.0
DE249,28.0
DE24A,28.0
DE24B,28.0
DE24C,28.0
DE24D,28.0
DE251,28.0
DE252,28.0
DE253,28.0
DE254,28.0
DE256,27.91304347826087
DE257,28.0
DE258,28.0
DE259,28.0
DE25A,27.733333333333334
DE25B,28.0
DE25C,28.0
DE261,28.0
DE263,28.0
DE264,28.0
DE265,28.0
DE266,28.0
DE267,28.0
DE268,28.0
DE269,28.0
DE26A,28.0
DE26B,28.0
DE26C,28.0
DE271,28.0
DE272,27.0
DE273,28.0
DE274,28.0
DE275,27.9
DE276,28.0
DE277,28.0
DE278,28.0
DE279,28.0
DE27A,28.0
DE27B,27.6875
DE27C,27.923076923076923
DE27D,28.0
DE27E,27.95
DE300,28.0
DE401,28.0
DE402,28.0
DE403,28.0
DE404,28.0
DE405,28.0
DE406,28.0
DE407,28.0
DE408,28.0
DE409,28.0
DE40A,28.0
DE40B,28.0
DE40C,28.0
DE40D,28.0
DE40E,27.647058823529413
DE40F,28.0
DE40G,28.0
DE40H,28.0
DE40I,28.0
DE501,28.0
DE502,27.5
DE600,27.8
DE711,28.0
DE712,28.0
DE713,28.0
DE714,28.0
DE715,28.0
DE716,28.0
DE717,28.0
DE718,28.0
DE719,28.0
DE71A,28.0
DE71B,28.0
DE71C,28.0
DE71D,28.0
DE71E,28.0
DE721,28.0
DE722,28.0
DE723,28.0
DE724,28.0
DE725,28.0
DE731,28.0
DE732,28.0
DE733,28.0
DE734,28.0
DE735,28.0
DE736,28.0
DE737,28.0
DE803,26.333333333333332
DE804,28.0
DE80J,26.86111111111111
DE80K,26.229166666666668
DE80L,24.75609756097561
DE80M,27.79310344827586
DE80N,26.132075471698112
DE80O,26.984126984126984
DE911,28.0
DE912,28.0
DE913,28.0
DE914,27.727272727272727
DE916,27.76923076923077
DE917,28.0
DE918,28.0
DE91A,28.0
DE91B,28.0
DE91C,28.0
DE922,28.0
DE923,28.0
DE925,28.0
DE926,28.0
DE927,28.0
DE928,28.0
DE929,28.0
DE931,27.0
DE932,27.1
DE933,27.263157894736842
DE934,27.88235294117647
DE935,27.055555555555557
DE936,28.0
DE937,27.76923076923077
DE938,27.28
DE939,27.375
DE93A,26.944444444444443
DE93B,28.0
DE941,28.0
DE943,28.0
DE944,28.0
DE945,26.0
DE946,28.0
DE947,27.41176470588235
DE948,28.0
DE949,28.0
DE94A,26.875
DE94B,28.0
DE94C,27.466666666666665
DE94D,28.0
DE94E,28.0
DE94F,28.0
DE94G,27.8
DE94H,26.0
DEA11,28.0
DEA12,28.0
DEA13,28.0
DEA14,28.0
DEA15,28.0
DEA16,28.0
DEA17,28.0
DEA18,28.0
DEA19,28.0
DEA1B,28.0
DEA1C,28.0
DEA1D,28.0
DEA1E,28.0
DEA1F,28.0
DEA22,28.0
DEA23,28.0
DEA26,27.636363636363637
DEA27,28.0
DEA28,26.294117647058822
DEA29,28.0
DEA2A,28.0
DEA2B,28.0
DEA2C,27.866666666666667
DEA2D,27.181818181818183
DEA31,28.0
DEA32,28.0
DEA33,28.0
DEA34,28.0
DEA35,28.0
DEA36,28.0
DEA37,28.0
DEA38,28.0
DEA41,28.0
DEA42,28.0
DEA43,28.0
DEA44,28.0
DEA45,28.0
DEA46,28.0
DEA47,28.0
DEA51,28.0
DEA52,28.0
DEA53,28.0
DEA54,28.0
DEA56,28.0
DEA57,28.0
DEA58,28.0
DEA59,28.0
DEA5A,28.0
DEA5B,28.0
DEA5C,28.0
DEB11,28.0
DEB12,27.11111111111111
DEB13,28.0
DEB14,28.0
DEB15,28.0
DEB17,27.916666666666668
DEB18,28.0
DEB1A,28.0
DEB1B,28.0
DEB1C,27.7
DEB1D,28.0
DEB21,28.0
DEB22,27.785714285714285
DEB23,26.714285714285715
DEB24,26.2
DEB25,28.0
DEB32,28.0
DEB33,28.0
DEB34,28.0
DEB35,28.0
DEB36,28.0
DEB37,28.0
DEB39,28.0
DEB3A,28.0
DEB3B,28.0
DEB3C,28.0
DEB3D,28.0
DEB3E,28.0
DEB3F,28.0
DEB3G,28.0
DEB3H,28.0
DEB3I,28.0
DEB3J,28.0
DEB3K,28.0
DEC01,28.0
DEC02,28.0
DEC03,28.0
DEC04,28.0
DEC05,28.0
DEC06,28.0
DED21,28.0
DED2C,28.0
DED2D,28.0
DED2E,28.0
DED2F,28.0
DED41,28.0
DED42,28.0
DED43,28.0
DED44,28.0
DED45,28.0
DED51,28.0
DED52,28.0
DED53,28.0
DEE01,27.75
DEE02,28.0
DEE03,28.0
DEE04,27.967741935483872
DEE05,27.57894736842105
DEE06,27.904761904761905
DEE07,28.0
DEE08,28.0
DEE09,27.275862068965516
DEE0A,27.77777777777778
DEE0B,28.0
DEE0C,27.375
DEE0D,28.0
DEE0E,27.96153846153846
DEF01,24.0
DEF02,24.0
DEF03,27.333333333333332
DEF04,23.0
DEF05,25.15
DEF06,26.666666666666668
DEF07,23.785714285714285
DEF08,24.333333333333332
DEF09,27.0
DEF0A,22.8125
DEF0B,24.133333333333333
DEF0C,24.03448275862069
DEF0D,25.666666666666668
DEF0E,25.785714285714285
DEF0F,26.6
DEG01,28.0
DEG02,28.0
DEG03,28.0
DEG04,28.0
DEG05,28.0
DEG06,28.0
DEG07,27.9
DEG09,28.0
DEG0A,28.0
DEG0B,27.88235294117647
DEG0C,27.363636363636363
DEG0D,28.0
DEG0E,27.916666666666668
DEG0F,27.666666666666668
DEG0G,28.0
DEG0H,28.0
DEG0I,28.0
DEG0J,27.75
DEG0K,28.0
DEG0L,28.0
DEG0M,28.0
DEG0N,28.0
DEG0P,28.0
DK011,22.5
DK012,24.0
DK013,23.0
DK014,21.75
DK021,25.083333333333332
DK022,24.21978021978022
DK031,24.19607843137255
DK032,24.729508196721312
DK041,23.37
DK042,23.103448275862068
DK050,21.97457627118644
EE001,21.597014925373134
EE004,21.363128491620113
EE008,25.258426966292134
EE009,21.553956834532375
EE00A,22.81132075471698
EL301,28.0
EL302,28.0
EL304,28.0
EL305,28.0
EL306,28.0
EL307,26.625
EL411,27.3
EL412,26.5
EL413,26.333333333333332
EL421,27.96153846153846
EL422,26.56
EL431,26.51851851851852
EL432,27.0
EL433,26.058823529411764
EL434,26.181818181818183
EL511,27.891304347826086
EL512,27.95
EL513,27.74074074074074
EL514,27.2972972972973
EL515,27.85
EL521,27.705882352941178
EL522,28.0
EL523,27.96551724137931
EL524,27.53846153846154
EL525,27.72222222222222
EL526,27.851063829787233
EL527,27.25
EL531,26.338709677419356
EL532,26.38888888888889
EL533,27.458333333333332
EL541,25.434782608695652
EL542,25.647058823529413
EL543,24.54901960784314
EL611,26.092307692307692
EL612,27.64814814814815
EL613,27.428571428571427
EL621,26.6
