NUTS_ID,EXCEED_mean
AL011,31.0
AL012,31.0
AL013,30.964285714285715
AL014,31.0
AL015,31.0
AL021,30.945945945945947
AL022,31.0
AL031,31.0
AL032,31.0
AL033,30.966666666666665
AL034,30.585365853658537
AL035,31.0
AT111,31.0
AT112,31.0
AT113,31.0
AT121,31.0
AT122,31.0
AT123,31.0
AT124,30.983050847457626
AT125,31.0
AT126,31.0
AT127,31.0
AT130,31.0
AT211,30.076923076923077
AT212,26.0
AT213,29.512820512820515
AT221,30.692307692307693
AT222,29.852941176470587
AT223,31.0
AT224,30.775
AT225,30.5
AT226,29.526315789473685
AT311,30.86111111111111
AT312,31.0
AT313,31.0
AT314,31.0
AT315,30.6
AT321,27.076923076923077
AT322,26.75925925925926
AT323,29.681818181818183
AT331,26.307692307692307
AT332,28.708333333333332
AT333,25.285714285714285
AT334,24.375
AT335,28.444444444444443
AT341,26.652173913043477
AT342,30.0
BE100,31.0
BE211,31.0
BE212,31.0
BE213,31.0
BE223,30.9
BE224,31.0
BE225,31.0
BE231,31.0
BE232,31.0
BE233,31.0
BE234,31.0
BE235,31.0
BE236,31.0
BE241,31.0
BE242,31.0
BE251,31.0
BE252,31.0
BE253,31.0
BE254,31.0
BE255,31.0
BE256,31.0
BE257,31.0
BE258,31.0
BE310,31.0
BE323,31.0
BE328,31.0
BE329,31.0
BE32A,31.0
BE32B,31.0
BE32C,31.0
BE32D,31.0
BE331,30.375
BE332,30.416666666666668
BE334,31.0
BE335,29.071428571428573
BE336,28.636363636363637
BE341,29.0
BE342,28.0
BE343,28.0
BE344,28.0625
BE345,28.7
BE351,29.38095238095238
BE352,31.0
BE353,30.833333333333332
BG311,31.0
BG312,31.0
BG313,31.0
BG314,31.0
BG315,31.0
BG321,31.0
BG322,31.0
BG323,31.0
BG324,31.0
BG325,31.0
BG331,31.0
BG332,31.0
BG333,31.0
BG334,31.0
BG341,31.0
BG342,31.0
BG343,31.0
BG344,31.0
BG411,31.0
BG412,31.0
BG413,31.0
BG414,31.0
BG415,31.0
BG421,31.0
BG422,31.0
BG423,31.0
BG424,31.0
BG425,31.0
CH011,27.05263157894737
CH012,20.360655737704917
CH013,28.75
CH021,25.52054794520548
CH022,27.72222222222222
CH023,28.5
CH024,28.666666666666668
CH025,28.666666666666668
CH032,28.714285714285715
CH033,28.61111111111111
CH040,28.523809523809526
CH051,22.166666666666668
CH052,29.0
CH053,29.0
CH054,29.0
CH055,26.916666666666668
CH056,22.16867469879518
CH057,29.0
CH061,26.58823529411765
CH062,21.5
CH063,23.272727272727273
CH064,23.25
CH065,23.5
CH066,26.666666666666668
CH070,22.0
CY000,31.0
CZ010,31.0
CZ020,31.0
CZ031,31.0
CZ032,31.0
CZ041,31.0
CZ042,31.0
CZ051,31.0
CZ052,31.0
CZ053,31.0
CZ063,31.0
CZ064,31.0
CZ071,31.0
CZ072,31.0
CZ080,31.0
DE111,31.0
DE112,29.333333333333332
DE113,29.77777777777778
DE114,29.333333333333332
DE115,30.666666666666668
DE116,30.76923076923077
DE117,31.0
DE118,30.733333333333334
DE119,30.7
DE11A,30.941176470588236
DE11B,30.2
DE11C,30.714285714285715
DE11D,30.833333333333332
DE121,30.0
DE122,30.0
DE123,29.75
DE124,29.333333333333332
DE125,30.0
DE126,30.0
DE127,30.46153846153846
DE128,30.083333333333332
DE129,29.0
DE12A,29.0
DE12B,29.142857142857142
DE12C,29.0
DE131,30.0
DE132,29.166666666666668
DE133,29.6
DE134,29.625
DE135,29.0
DE136,29.0
DE137,29.0
DE138,29.0
DE139,29.181818181818183
DE13A,28.733333333333334
DE141,29.083333333333332
DE142,29.166666666666668
DE143,29.0
DE144,29.5
DE145,29.25
DE146,29.066666666666666
DE147,29.0
DE148,29.0
DE149,29.0
DE211,31.0
DE212,30.333333333333332
DE214,30.0
DE215,29.77777777777778
DE216,29.0
DE217,29.833333333333332
DE218,29.666666666666668
DE219,30.928571428571427
DE21A,30.444444444444443
DE21B,30.6
DE21C,29.0
DE21D,29.181818181818183
DE21E,29.0
DE21F,29.0
DE21G,30.0
DE21H,29.6
DE21I,30.7
DE21J,30.25
DE21K,30.055555555555557
DE21L,29.0
DE21M,29.833333333333332
DE21N,29.0
DE221,30.0
DE223,31.0
DE224,31.0
DE225,31.0
DE226,30.76923076923077
DE227,30.5
DE228,31.0
DE229,31.0
DE22A,30.857142857142858
DE22B,31.0
DE22C,31.0
DE231,31.0
DE233,31.0
DE234,31.0
DE235,31.0
DE236,31.0
DE237,31.0
DE238,31.0
DE239,31.0
DE23A,31.0
DE242,31.0
DE243,31.0
DE245,31.0
DE246,31.0
DE247,31.0
DE248,31.0
DE249,31.0
DE24A,31.0
DE24B,31.0
DE24C,31.0
DE24D,31.0
DE252,31.0
DE254,31.0
DE256,30.962962962962962
DE257,31.0
DE258,31.0
DE259,31.0
DE25A,30.875
DE25B,31.0
DE25C,31.0
DE261,30.0
DE262,31.0
DE263,31.0
DE264,30.0
DE265,30.6875
DE266,30.733333333333334
DE267,31.0
DE268,31.0
DE269,30.0
DE26A,30.307692307692307
DE26B,31.0
DE26C,30.642857142857142
DE271,30.0
DE272,29.0
DE273,29.0
DE274,29.0
DE275,29.77777777777778
DE276,29.5
DE277,30.6
DE278,29.3
DE279,29.333333333333332
DE27A,29.0
DE27B,29.0
DE27C,29.0
DE27D,31.0
DE27E,27.77777777777778
DE300,31.0
DE401,31.0
DE402,31.0
DE403,31.0
DE404,31.0
DE405,31.0
DE406,31.0
DE407,31.0
DE408,31.0
DE409,30.962962962962962
DE40A,31.0
DE40B,31.0
DE40C,31.0
DE40D,31.0
DE40E,31.0
DE40F,31.0
DE40G,31.0
DE40H,31.0
DE40I,31.0
DE501,31.0
DE502,31.0
DE600,31.0
DE711,30.0
DE712,31.0
DE714,30.0
DE715,30.0
DE716,30.0
DE717,30.0
DE718,30.0
DE719,30.25
DE71A,29.75
DE71B,30.0
DE71C,30.0
DE71D,29.333333333333332
DE71E,30.466666666666665
DE721,30.0
DE722,30.416666666666668
DE723,30.11111111111111
DE724,30.666666666666668
DE725,30.3
DE731,31.0
DE732,30.352941176470587
DE733,31.0
DE734,31.0
DE735,31.0
DE736,31.0
DE737,31.0
DE803,31.0
DE804,31.0
DE80J,31.0
DE80K,31.0
DE80L,31.0
DE80M,30.923076923076923
DE80N,30.945454545454545
DE80O,31.0
DE911,31.0
DE912,31.0
DE913,31.0
DE914,31.0
DE916,31.0
DE917,31.0
DE918,31.0
DE91A,31.0
DE91B,31.0
DE91C,31.0
DE922,31.0
DE923,31.0
DE925,31.0
DE926,31.0
DE927,31.0
DE928,31.0
DE929,31.0
DE931,31.0
DE932,30.892857142857142
DE933,31.0
