NUTS_ID,EXCEED_mean
AL011,30.0
AL012,30.0
AL013,29.807692307692307
AL014,30.0
AL015,29.94736842105263
AL021,30.0
AL022,30.0
AL031,30.0
AL032,30.0
AL033,30.0
AL034,29.76923076923077
AL035,30.0
AT111,28.75
AT112,29.0
AT113,29.705882352941178
AT121,29.75609756097561
AT122,28.86111111111111
AT123,30.0
AT124,29.912280701754387
AT125,30.0
AT126,30.0
AT127,29.555555555555557
AT130,30.0
AT211,29.523809523809526
AT212,27.16
AT213,28.475
AT221,29.214285714285715
AT222,28.232558139534884
AT223,28.3
AT224,29.3
AT225,29.48148148148148
AT226,27.783783783783782
AT311,29.666666666666668
AT312,29.80952380952381
AT313,29.75862068965517
AT314,28.85185185185185
AT315,28.866666666666667
AT321,26.818181818181817
AT322,27.442307692307693
AT323,29.238095238095237
AT331,26.928571428571427
AT332,27.36
AT333,26.36
AT334,26.236842105263158
AT335,27.625
AT341,25.75
AT342,29.363636363636363
BE100,30.0
BE211,29.53846153846154
BE212,29.375
BE213,29.0625
BE223,28.714285714285715
BE224,29.454545454545453
BE225,29.77777777777778
BE231,29.0
BE232,29.0
BE233,30.0
BE234,29.833333333333332
BE235,29.333333333333332
BE236,29.833333333333332
BE241,29.363636363636363
BE242,29.0
BE251,30.0
BE252,30.0
BE253,30.0
BE254,29.857142857142858
BE255,30.0
BE256,30.0
BE257,30.0
BE258,30.0
BE310,28.928571428571427
BE323,29.0
BE328,29.727272727272727
BE329,29.0
BE32A,29.11111111111111
BE32B,29.0
BE32C,29.0
BE32D,28.0
BE331,26.5
BE332,27.0
BE334,27.2
BE335,25.866666666666667
BE336,26.8
BE341,25.0
BE342,25.142857142857142
BE343,25.071428571428573
BE344,25.4
BE345,25.125
BE351,26.3
BE352,27.61111111111111
BE353,27.09090909090909
BG311,30.0
BG312,30.0
BG313,30.0
BG314,30.0
BG315,30.0
BG321,30.0
BG322,30.0
BG323,30.0
BG324,30.0
BG325,30.0
BG331,30.0
BG332,30.0
BG333,30.0
BG334,30.0
BG341,30.0
BG342,30.0
BG343,30.0
BG344,30.0
BG411,30.0
BG412,30.0
BG413,29.984848484848484
BG414,30.0
