NUTS_ID,EXCEED_mean
AL011,30.962962962962962
AL012,31.0
AL013,31.0
AL014,30.94736842105263
AL015,30.789473684210527
AL021,31.0
AL022,31.0
AL031,31.0
AL032,31.0
AL033,31.0
AL034,31.0
AL035,31.0
AT111,31.0
AT112,31.0
AT113,31.0
AT121,31.0
AT122,31.0
AT123,31.0
AT124,31.0
AT125,31.0
AT126,31.0
AT127,31.0
AT130,31.0
AT211,31.0
AT212,30.48
AT213,30.95
AT221,31.0
AT222,30.651162790697676
AT223,31.0
AT224,31.0
AT225,31.0
AT226,30.783783783783782
AT311,31.0
AT312,31.0
AT313,31.0
AT314,30.925925925925927
AT315,31.0
AT321,30.0
AT322,30.5
AT323,31.0
AT331,29.928571428571427
AT332,30.56
AT333,29.92
AT334,29.63157894736842
AT335,30.770833333333332
AT341,28.85
AT342,30.90909090909091
BE100,30.0
BE211,30.692307692307693
BE212,30.25
BE213,30.6875
BE223,30.142857142857142
BE224,30.0
BE225,30.444444444444443
BE231,30.5
BE232,30.8
BE233,30.666666666666668
BE234,30.75
BE235,30.5
BE236,31.0
BE241,30.272727272727273
BE242,30.0
BE251,30.25
BE252,30.0
BE253,30.666666666666668
BE254,31.0
BE255,30.75
BE256,30.666666666666668
BE257,31.0
BE258,30.8
BE310,29.785714285714285
BE323,30.428571428571427
BE328,30.454545454545453
BE329,30.0
BE32A,30.0
BE32B,29.833333333333332
BE32C,30.0
BE32D,30.0
BE331,28.7
BE332,29.625
BE334,30.0
BE335,28.333333333333332
BE336,28.5
BE341,29.25
BE342,28.428571428571427
BE343,28.142857142857142
BE344,29.4
BE345,29.375
BE351,29.25
BE352,29.166666666666668
BE353,29.181818181818183
BG311,30.97142857142857
BG312,30.976190476190474
BG313,31.0
BG314,31.0
BG315,30.80851063829787
BG321,31.0
BG322,31.0
BG323,31.0
BG324,31.0
BG325,31.0
BG331,31.0
BG332,31.0
BG333,31.0
BG334,31.0
BG341,31.0
BG342,31.0
BG343,31.0
BG344,30.90909090909091
BG411,30.8
BG412,30.17721518987342
BG413,30.90909090909091
BG414,30.208333333333332
BG415,30.63888888888889
BG421,30.803030303030305
BG422,31.0
BG423,30.770833333333332
BG424,31.0
BG425,31.0
CH011,30.742857142857144
CH012,29.131147540983605
CH013,31.0
CH021,30.28358208955224
CH022,31.0
CH023,31.0
CH024,30.666666666666668
CH025,31.0
CH032,31.0
CH033,31.0
CH040,31.0
CH051,29.375
CH052,31.0
CH053,31.0
CH054,31.0
CH055,30.91304347826087
CH056,29.50588235294118
CH057,31.0
CH061,30.944444444444443
CH062,28.53846153846154
CH063,30.3
CH064,30.0
CH065,31.0
CH066,31.0
CH070,29.78125
CY000,31.0
CZ010,31.0
CZ020,31.0
CZ031,31.0
CZ032,31.0
CZ041,31.0
CZ042,31.0
CZ051,31.0
CZ052,31.0
CZ053,31.0
CZ063,31.0
CZ064,31.0
CZ071,31.0
CZ072,31.0
CZ080,31.0
DE111,31.0
DE112,31.0
DE113,31.0
DE114,31.0
DE115,31.0
DE116,31.0
DE118,31.0
DE119,31.0
DE11A,31.0
DE11B,31.0
DE11C,31.0
DE11D,31.0
DE121,31.0
DE122,31.0
