NUTS_ID,EXCEED_mean
AL011,28.0
AL012,28.0
AL013,27.857142857142858
AL014,28.0
AL015,27.783783783783782
AL021,28.0
AL022,28.0
AL031,28.0
AL032,28.0
AL033,28.0
AL034,27.951219512195124
AL035,28.0
AT111,24.555555555555557
AT112,23.55
AT113,26.470588235294116
AT121,22.80952380952381
AT122,21.717391304347824
AT123,24.666666666666668
AT124,22.83050847457627
AT125,25.384615384615383
AT126,24.676470588235293
AT127,23.4
AT130,26.166666666666668
AT211,26.692307692307693
AT212,22.51063829787234
AT213,25.23076923076923
AT221,25.692307692307693
AT222,21.735294117647058
AT223,20.86842105263158
AT224,24.425
AT225,26.0
AT226,21.394736842105264
AT311,26.083333333333332
AT312,26.2
AT313,23.6
AT314,22.51851851851852
AT315,23.766666666666666
AT321,19.923076923076923
AT322,21.59259259259259
AT323,25.5
AT331,21.0
AT332,23.208333333333332
AT333,16.38095238095238
AT334,19.35
AT335,23.511111111111113
AT341,22.956521739130434
AT342,28.0
BE100,28.0
BE211,28.0
BE212,28.0
BE213,28.0
BE223,28.0
BE224,28.0
BE225,28.0
BE231,28.0
BE232,28.0
BE233,28.0
BE234,28.0
BE235,28.0
BE236,28.0
BE241,28.0
BE242,28.0
BE251,27.714285714285715
BE252,28.0
BE253,28.0
BE254,28.0
BE255,27.5
BE256,28.0
BE257,28.0
BE258,28.0
BE310,28.0
BE323,28.0
BE328,28.0
BE329,28.0
BE32A,28.0
BE32B,28.0
BE32C,28.0
BE32D,28.0
BE331,27.875
BE332,27.833333333333332
BE334,28.0
BE335,27.285714285714285
BE336,27.09090909090909
BE341,26.8
BE342,25.533333333333335
BE343,26.636363636363637
BE344,25.625
BE345,26.2
BE351,27.761904761904763
BE352,28.0
BE353,28.0
BG311,27.676470588235293
BG312,27.605263157894736
BG313,27.952380952380953
BG314,28.0
BG315,27.8
BG321,28.0
BG322,28.0
BG323,28.0
BG324,28.0
BG325,28.0
BG331,28.0
BG332,28.0
BG333,28.0
BG334,28.0
BG341,28.0
BG342,28.0
BG343,28.0
BG344,28.0
BG411,28.0
BG412,27.56578947368421
BG413,27.123287671232877
BG414,27.857142857142858
BG415,27.558823529411764
BG421,27.953125
BG422,28.0
BG423,27.020833333333332
BG424,27.78787878787879
BG425,28.0
CH011,26.973684210526315
CH012,20.39344262295082
CH013,28.0
CH021,24.246575342465754
CH022,27.27777777777778
CH023,28.0
CH024,27.22222222222222
CH025,27.333333333333332
CH032,28.0
CH033,27.61111111111111
CH040,27.714285714285715
CH051,21.666666666666668
CH052,27.0
CH053,26.5
CH054,25.0
CH055,25.708333333333332
CH056,18.6144578313253
CH057,27.066666666666666
CH061,26.823529411764707
CH062,20.083333333333332
CH063,24.90909090909091
CH064,26.5
CH065,26.5
CH066,27.666666666666668
CH070,23.727272727272727
CY000,22.293478260869566
CZ010,26.5
CZ020,25.5
CZ031,24.316666666666666
CZ032,24.0
CZ041,24.238095238095237
CZ042,25.134328358208954
CZ051,26.0
CZ052,27.43548387096774
CZ053,26.98148148148148
CZ063,25.976470588235294
CZ064,26.146067415730336
CZ071,27.385714285714286
CZ072,27.72340425531915
CZ080,27.235294117647058
DE111,27.0
DE112,26.666666666666668
DE113,26.555555555555557
DE114,26.166666666666668
DE115,27.5
DE116,26.076923076923077
DE117,28.0
DE118,27.333333333333332
DE119,26.8
DE11A,26.176470588235293
DE11B,27.0
DE11C,25.0
DE11D,26.055555555555557
DE121,27.0
DE122,27.666666666666668
DE123,27.833333333333332
DE124,27.333333333333332
DE125,28.0
DE126,28.0
DE127,27.46153846153846
DE128,27.916666666666668
DE129,27.0
DE12A,25.555555555555557
DE12B,27.428571428571427
DE12C,25.3
DE131,28.0
DE132,26.77777777777778
DE133,27.6
DE134,27.208333333333332
DE135,25.666666666666668
DE136,25.46153846153846
DE137,25.75
DE138,26.77777777777778
DE139,27.636363636363637
DE13A,26.666666666666668
DE141,24.333333333333332
DE142,26.166666666666668
DE143,25.75
DE144,26.0
DE145,24.5
DE146,26.333333333333332
DE147,27.0
DE148,27.0
DE149,25.8
DE211,26.0
