NUTS_ID,EXCEED_mean
AL011,30.0
AL012,30.0
AL013,30.0
AL014,30.0
AL015,30.0
AL021,30.0
AL022,30.0
AL031,30.0
AL032,30.0
AL033,30.0
AL034,30.0
AL035,30.0
AT111,30.0
AT112,30.0
AT113,30.0
AT121,30.0
AT122,30.0
AT123,30.0
AT124,30.0
AT125,30.0
AT126,30.0
AT127,30.0
AT130,30.0
AT211,30.0
AT212,30.0
AT213,30.0
AT221,30.0
AT222,29.930232558139537
AT223,30.0
AT224,30.0
AT225,30.0
AT226,30.0
AT311,30.0
AT312,30.0
AT313,30.0
AT314,29.85185185185185
AT315,30.0
AT321,30.0
AT322,30.0
AT323,30.0
AT331,30.0
AT332,30.0
AT333,30.0
AT334,29.92105263157895
AT335,30.0
AT341,29.35
AT342,30.0
BE100,28.0
BE211,29.23076923076923
BE212,29.0
BE213,29.0
BE223,28.142857142857142
BE224,28.636363636363637
BE225,29.22222222222222
BE231,29.0
BE232,29.8
BE233,30.0
BE234,29.916666666666668
BE235,29.166666666666668
BE236,30.0
BE241,28.181818181818183
BE242,28.22222222222222
BE251,30.0
BE252,29.0
BE253,28.833333333333332
BE254,29.857142857142858
BE255,29.75
BE256,30.0
BE257,30.0
BE258,28.0
BE310,26.142857142857142
BE323,25.714285714285715
BE328,28.272727272727273
BE329,25.666666666666668
BE32A,27.333333333333332
BE32B,25.166666666666668
BE32C,26.25
BE32D,23.22222222222222
BE331,24.8
BE332,25.625
BE334,26.4
BE335,23.733333333333334
BE336,25.8
BE341,24.75
BE342,23.571428571428573
BE343,22.714285714285715
BE344,22.733333333333334
BE345,24.625
BE351,21.95
BE352,24.11111111111111
BE353,19.818181818181817
BG311,29.885714285714286
BG312,29.904761904761905
BG313,30.0
BG314,30.0
BG315,30.0
BG321,30.0
BG322,30.0
BG323,30.0
BG324,30.0
BG325,30.0
BG331,30.0
BG332,30.0
BG333,30.0
BG334,30.0
BG341,30.0
BG342,30.0
BG343,30.0
BG344,30.0
BG411,30.0
BG412,29.962025316455698
BG413,29.954545454545453
BG414,30.0
BG415,29.77777777777778
BG421,30.0
BG422,30.0
BG423,29.916666666666668
BG424,30.0
BG425,30.0
